original_page,original_name_jp,original_name_cn,first_release_work,first_release_date,first_release_date_raw,arrangement_count,vocal_count,arrange_count,dated_arrangement_count,undated_arrangement_count,timeline_available,source_page_url,source_frontend_url,count_basis,observed_at_utc
53分钟的蓝色大海,53ミニッツの青い海,53分钟的蓝色大海,卯酉东海道,2006-05-21,1/2006/5/21,228,69,159,227,1,True,https://thwiki.cc/53%E5%88%86%E9%92%9F%E7%9A%84%E8%93%9D%E8%89%B2%E5%A4%A7%E6%B5%B7,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
A Sacred Lot,A Sacred Lot,A Sacred Lot,东方灵异传,1996-11-03,1/1996/11/3,78,13,65,77,1,True,https://thwiki.cc/A_Sacred_Lot,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Alice Maestra,アリスマエステラ,Alice Maestra,东方幻想乡,1998-08-14,1/1998/8/14,276,79,197,272,4,True,https://thwiki.cc/Alice_Maestra,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
AN ORDEAL FROM GOD,AN ORDEAL FROM GOD,AN ORDEAL FROM GOD,神魔讨绮传,2008-05-25,1/2008/5/25,19,3,16,19,0,True,https://thwiki.cc/AN_ORDEAL_FROM_GOD,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Antique Terror,アンティークテラー,Antique Terror,秋霜玉,2000-12-30,1/2000/12/30,14,0,14,13,1,True,https://thwiki.cc/Antique_Terror,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Arcadian Dream,Arcadian Dream,Arcadian Dream,东方幻想乡,1998-08-14,1/1998/8/14,33,5,28,33,0,True,https://thwiki.cc/Arcadian_Dream,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Bad Apple!!,Bad Apple!!,Bad Apple!!,东方幻想乡体验版,1998-07-02,1/1998/7/2,829,240,589,823,6,True,https://thwiki.cc/Bad_Apple!!,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Banditry Technology,バンデットリィテクノロジー,Banditry Technology,东方虹龙洞体验版,2021-03-21,1/2021/3/21,99,24,75,99,0,True,https://thwiki.cc/Banditry_Technology,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Bar·Old Adam,バー・オールドアダム,Bar·Old Adam,旧约酒馆,2016-08-13,1/2016/8/13,152,52,100,151,1,True,https://thwiki.cc/Bar%C2%B7Old_Adam,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Beast Metropolis,ビーストメトロポリス,Beast Metropolis,东方鬼形兽,2019-08-12,1/2019/8/12,153,36,117,153,0,True,https://thwiki.cc/Beast_Metropolis,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Border Land,Border Land,Border Land,东方怪绮谈,1998-12-30,1/1998/12/30,26,7,19,26,0,True,https://thwiki.cc/Border_Land,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Border of Life,ボーダーオブライフ,Border of Life,东方妖妖梦,2003-08-17,1/2003/8/17,394,91,303,390,4,True,https://thwiki.cc/Border_of_Life,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Break the Sabbath,Break the Sabbath,Break the Sabbath,东方幻想乡,1998-08-14,1/1998/8/14,40,5,35,40,0,True,https://thwiki.cc/Break_the_Sabbath,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Captain Murasa,キャプテン・ムラサ,Captain Murasa,东方星莲船,2009-08-15,1/2009/8/15,861,329,532,858,3,True,https://thwiki.cc/Captain_Murasa,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Castle Explorer -in the Sky-,Castle Explorer -in the Sky-,Castle Explorer -in the Sky-,稀翁玉,2001-12-30,1/2001/12/30,8,0,8,8,0,True,https://thwiki.cc/Castle_Explorer_-in_the_Sky-,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Complete Darkness,Complete Darkness,Complete Darkness,东方封魔录,1997-08-15,1/1997/8/15,290,61,229,287,3,True,https://thwiki.cc/Complete_Darkness,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Crazy Back Dancers,クレイジーバックダンサーズ,Crazy Back Dancers,东方天空璋,2017-08-11,1/2017/8/11,354,104,250,354,0,True,https://thwiki.cc/Crazy_Back_Dancers,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Crescent Dream,Crescent Dream,Crescent Dream,东方怪绮谈,1998-12-30,1/1998/12/30,41,0,41,41,0,True,https://thwiki.cc/Crescent_Dream,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Crystallize Silver,クリスタライズシルバー,Crystallize Silver,东方妖妖梦体验版,2002-12-30,1/2002/12/30,868,266,602,866,2,True,https://thwiki.cc/Crystallize_Silver,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Days,Days,Days,东方幻想乡,1998-08-14,1/1998/8/14,37,12,25,37,0,True,https://thwiki.cc/Days,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Demystify Feast,Demystify Feast,Demystify Feast,东方萃梦想,2004-12-30,1/2004/12/30,379,77,302,378,1,True,https://thwiki.cc/Demystify_Feast,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Desire Dream,デザイアドリーム,Desire Dream,东方神灵庙,2011-08-13,1/2011/8/13,116,29,87,116,0,True,https://thwiki.cc/Desire_Dream,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Desire Drive,デザイアドライブ,Desire Drive,东方神灵庙,2011-08-13,1/2011/8/13,1916,602,1314,1913,3,True,https://thwiki.cc/Desire_Drive,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Dim. Dream,Dim. Dream,Dim. Dream,东方梦时空,1997-12-29,1/1997/12/29,212,71,141,211,1,True,https://thwiki.cc/Dim._Dream,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Disastrous Gemini,ディザストラスジェミニ,Disastrous Gemini,秋霜玉体验版,2000-08-12,1/2000/8/12,25,0,25,25,0,True,https://thwiki.cc/Disastrous_Gemini,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Dr. Latency的令人不眠之瞳,Dr.レイテンシーの眠れなくなる瞳,Dr. Latency的令人不眠之瞳,燕石博物志,2016-05-08,1/2016/5/8,125,43,82,125,0,True,https://thwiki.cc/Dr._Latency%E7%9A%84%E4%BB%A4%E4%BA%BA%E4%B8%8D%E7%9C%A0%E4%B9%8B%E7%9E%B3,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Dream Express,Dream Express,Dream Express,东方怪绮谈,1998-12-30,1/1998/12/30,83,18,65,82,1,True,https://thwiki.cc/Dream_Express,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Dream Land,Dream Land,Dream Land,东方幻想乡,1998-08-14,1/1998/8/14,105,34,71,105,0,True,https://thwiki.cc/Dream_Land,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Dreamy pilot,Dreamy pilot,Dreamy pilot,东方怪绮谈,1998-12-30,1/1998/12/30,44,8,36,44,0,True,https://thwiki.cc/Dreamy_pilot,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Electric Heritage,エレクトリックヘリテージ,Electric Heritage,东方鬼形兽,2019-08-12,1/2019/8/12,97,22,75,97,0,True,https://thwiki.cc/Electric_Heritage,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
End of Daylight,End of Daylight,End of Daylight,东方封魔录,1997-08-15,1/1997/8/15,87,19,68,87,0,True,https://thwiki.cc/End_of_Daylight,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Endless,Endless,Endless,东方怪绮谈,1998-12-30,1/1998/12/30,26,5,21,26,0,True,https://thwiki.cc/Endless,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Eternal Dream ～ 幽玄的枫树,Eternal Dream　～ 幽玄の槭樹,Eternal Dream　～ 幽玄的枫树,东方永夜抄,2004-08-15,1/2004/8/15,413,77,336,413,0,True,https://thwiki.cc/Eternal_Dream_%EF%BD%9E_%E5%B9%BD%E7%8E%84%E7%9A%84%E6%9E%AB%E6%A0%91,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Extend Ash ～ 蓬莱人,エクステンドアッシュ　～ 蓬莱人,Extend Ash　～ 蓬莱人,东方永夜抄,2004-08-15,1/2004/8/15,1028,411,617,1027,1,True,https://thwiki.cc/Extend_Ash_%EF%BD%9E_%E8%93%AC%E8%8E%B1%E4%BA%BA,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Extra Love,エキストララブ,Extra Love,东方封魔录,1997-08-15,1/1997/8/15,39,7,32,39,0,True,https://thwiki.cc/Extra_Love,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Fall of Fall ～ 秋意渐浓之瀑,フォールオブフォール　～ 秋めく滝,Fall of Fall　～ 秋意渐浓之瀑,东方风神录,2007-08-17,1/2007/8/17,1554,530,1024,1546,8,True,https://thwiki.cc/Fall_of_Fall_%EF%BD%9E_%E7%A7%8B%E6%84%8F%E6%B8%90%E6%B5%93%E4%B9%8B%E7%80%91,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
False Strawberry,フォルスストロベリー,False Strawberry,秋霜玉体验版,2000-08-12,1/2000/8/12,47,5,42,47,0,True,https://thwiki.cc/False_Strawberry,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Fantastic Drift,ファンタスティックドリフト,Fantastic Drift,东方锦上京,2025-08-17,1/2025/8/17,22,2,20,22,0,True,https://thwiki.cc/Fantastic_Drift,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Flowering Night,フラワリングナイト,Flowering Night,东方花映塚,2005-08-14,1/2005/8/14,1798,525,1273,1791,7,True,https://thwiki.cc/Flowering_Night,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
