query,page,position,bv,url,title,author,published_date_display,published_date,date_precision,view_display,view_snapshot,danmaku_display,danmaku_snapshot,duration,content_category,poll_region_alignment,character_mentions_cn,observed_at,coverage_note
东方 魅魔 人气投票,1,10,BV1gafhYbEpv,https://www.bilibili.com/video/BV1gafhYbEpv/,东方梗指南之魅魔回归,金剛大漢,2025-01-22,2025-01-22,day,3.7万,37000,24,24,01:19,meme_or_derivative,jp_poll,魅魔,2026-08-23,登录后搜索界面补采；题名命中与发布时间可复核，互动为当前累计快照
东方 魅魔 人气投票,1,1,BV1XhdFB4EFw,https://www.bilibili.com/video/BV1XhdFB4EFw/,【东方人物志】东方人气排行第49名 魅魔,探险家sunrise,05-07,2026-05-07,day_inferred_current_year,5456,5456,2,2,03:13,result_or_ranking,jp_poll,魅魔,2026-08-23,同上
东方 宇佐见莲子 人气投票,1,5,BV11Z421z7du,https://www.bilibili.com/video/BV11Z421z7du/,【喜东方20】现世的天才-宇佐见莲子 浅谈东方人物角色外貌与行为,迪蒙Daemon,2024-02-08,2024-02-08,day,5.1万,51000,416,416,17:59,character_search_candidate,cn_platform_context,宇佐见莲子,2026-08-23,秘封角色讲解与中文社群语境
东方 宇佐见莲子 人气投票,1,17,BV1Uv41137JL,https://www.bilibili.com/video/BV1Uv41137JL/,【东浅语】为什么我们喜欢秘封组？,芊年人间,2021-09-24,2021-09-24,day,5.2万,52000,259,259,16:40,meme_or_derivative,cn_platform_context,宇佐见莲子;玛艾露贝莉·赫恩,2026-08-23,秘封长期社群解释
东方 梅莉 秘封 人气,1,1,BV1iA9RB7ERw,https://www.bilibili.com/video/BV1iA9RB7ERw/,【东方人物志】东方人气排行第55名 玛艾露贝莉·赫恩（梅莉）,探险家sunrise,05-03,2026-05-03,day_inferred_current_year,2205,2205,3,3,03:04,result_or_ranking,jp_poll,玛艾露贝莉·赫恩,2026-08-23,秘封角色排名视频
东方 梅莉 秘封 人气,1,11,BV1uB421r7FJ,https://www.bilibili.com/video/BV1uB421r7FJ/,【喜东方19】窥幻的少女-梅莉 浅谈东方人物角色外貌与行为,迪蒙Daemon,2024-01-31,2024-01-31,day,3.9万,39000,332,332,21:44,character_search_candidate,cn_platform_context,玛艾露贝莉·赫恩,2026-08-23,秘封角色讲解
东方 梅莉 秘封 人气,1,16,BV1sW411y7uC,https://www.bilibili.com/video/BV1sW411y7uC/,{东方漫画}——秘封——《梅莉的厨房》,胖嘟嘟的大山猫,2018-09-14,2018-09-14,day,6088,6088,54,54,02:35,meme_or_derivative,cn_platform_context,玛艾露贝莉·赫恩,2026-08-23,较早的秘封二创样本
东方 豫母都日狭美 人气投票,1,1,BV1eXi1B3EuM,https://www.bilibili.com/video/BV1eXi1B3EuM/,【东方人物志】东方人气排行榜第96名 豫母都日狭美,探险家sunrise,01-07,2026-01-07,day_inferred_current_year,3436,3436,5,5,02:30,result_or_ranking,jp_poll,豫母都日狭美,2026-08-23,新作角色排名视频
东方 豫母都日狭美 人气投票,1,7,BV1wX4y1x7kP,https://www.bilibili.com/video/BV1wX4y1x7kP/,【东方兽王园BGM】振り向かない黄泉の道【豫母都日狭美角色曲】,殇韵月风,2023-08-13,2023-08-13,day,19.3万,193000,253,253,05:14,meme_or_derivative,cn_platform_context,豫母都日狭美,2026-08-23,角色曲二创与新作发布同期
东方 豫母都日狭美 人气投票,1,18,BV1Rj411B7Q5,https://www.bilibili.com/video/BV1Rj411B7Q5/,【东方兽王园】新角色——豫母都日狭美 角色设计&设定详解,东方音像馆,2023-08-17,2023-08-17,day,3.1万,31000,977,977,09:05,character_search_candidate,cn_platform_context,豫母都日狭美,2026-08-23,设定讲解视频
