query,page,position,bv,url,title,author,published_date_display,published_date,date_precision,view_display,view_snapshot,danmaku_display,danmaku_snapshot,duration,content_category,poll_region_alignment,character_mentions_cn,observed_at,coverage_note
东方 丰姬 人气投票,1,1,BV1ZyY1zREMF,https://www.bilibili.com/video/BV1ZyY1zREMF/,最难5面，绵月丰姬LNN,纷雪飞燕,2025-08-17,2025-08-17,day,14.7万,147000,248,248,02:29,character_search_candidate,cn_platform_context,绵月丰姬,2026-08-23,角色查询公开首屏候选；包含搜索噪声，不是全站作品量。只有题名与发布时间可作发现线索。
东方 丰姬 人气投票,1,2,BV1ZA64BiEK7,https://www.bilibili.com/video/BV1ZA64BiEK7/,【东方人物志】东方人气排行榜第73名 绵月丰姬,探险家sunrise,02-01,2026-02-01,day_inferred_current_year,3413,3413,2,2,03:11,character_search_candidate,cn_platform_context,绵月丰姬,2026-08-23,角色查询公开首屏候选；包含搜索噪声，不是全站作品量。只有题名与发布时间可作发现线索。
东方 丰姬 人气投票,1,4,BV1ej411X7s2,https://www.bilibili.com/video/BV1ej411X7s2/,一分钟了解 绵月丰姬,绵月丰姫,2023-06-13,2023-06-13,day,1.3万,13000,0,0,00:45,character_search_candidate,cn_platform_context,绵月丰姬,2026-08-23,角色查询公开首屏候选；包含搜索噪声，不是全站作品量。只有题名与发布时间可作发现线索。
东方 丰姬 人气投票,1,5,BV1qc411Q79u,https://www.bilibili.com/video/BV1qc411Q79u/,贤者姊妹-绵月丰姬&绵月依姬角色曲及相关同人曲,守矢の神人苗苗_,2023-12-01,2023-12-01,day,5594,5594,4,4,32:26,character_search_candidate,cn_platform_context,绵月丰姬;绵月依姬,2026-08-23,角色查询公开首屏候选；包含搜索噪声，不是全站作品量。只有题名与发布时间可作发现线索。
东方 丰姬 人气投票,1,6,BV1vx7p6vEnr,https://www.bilibili.com/video/BV1vx7p6vEnr/,【LuaStg】自制的绵月丰姬弹幕重置,欢屿Lgs,06-27,2026-06-27,day_inferred_current_year,3036,3036,2,2,02:33,character_search_candidate,cn_platform_context,绵月丰姬,2026-08-23,角色查询公开首屏候选；包含搜索噪声，不是全站作品量。只有题名与发布时间可作发现线索。
东方 丰姬 人气投票,1,7,BV1RVBDBFEF8,https://www.bilibili.com/video/BV1RVBDBFEF8/,绵月丰姬LNN（带月石）,PTYK,2025-12-25,2025-12-25,day,368,368,1,1,02:36,character_search_candidate,cn_platform_context,绵月丰姬,2026-08-23,角色查询公开首屏候选；包含搜索噪声，不是全站作品量。只有题名与发布时间可作发现线索。
东方 丰姬 人气投票,1,8,BV16TYkzWEQr,https://www.bilibili.com/video/BV16TYkzWEQr/,綿月豐姬！！！！,-XWGT,2025-08-17,2025-08-17,day,4.3万,43000,23,23,00:38,character_search_candidate,cn_platform_context,绵月丰姬,2026-08-23,角色查询公开首屏候选；包含搜索噪声，不是全站作品量。只有题名与发布时间可作发现线索。
东方 丰姬 人气投票,1,9,BV1ukXSBpE2h,https://www.bilibili.com/video/BV1ukXSBpE2h/,最难75帧5面，绵月丰姬75FPSLNNNNN,纷雪飞燕,03-29,2026-03-29,day_inferred_current_year,1.6万,16000,32,32,01:36,character_search_candidate,cn_platform_context,绵月丰姬,2026-08-23,角色查询公开首屏候选；包含搜索噪声，不是全站作品量。只有题名与发布时间可作发现线索。
东方 丰姬 人气投票,1,10,BV1UHZKByEyA,https://www.bilibili.com/video/BV1UHZKByEyA/,最优雅五面——绵月丰姬LNN,PTYK,02-16,2026-02-16,day_inferred_current_year,2766,2766,1,1,02:29,character_search_candidate,cn_platform_context,绵月丰姬,2026-08-23,角色查询公开首屏候选；包含搜索噪声，不是全站作品量。只有题名与发布时间可作发现线索。
东方 丰姬 人气投票,1,11,BV1QwXMBBE37,https://www.bilibili.com/video/BV1QwXMBBE37/,[东方lostword]日服 新角色 绵月丰姬 全符卡动画演示,laoxu_666,03-27,2026-03-27,day_inferred_current_year,3759,3759,1,1,03:45,character_search_candidate,cn_platform_context,绵月丰姬,2026-08-23,角色查询公开首屏候选；包含搜索噪声，不是全站作品量。只有题名与发布时间可作发现线索。
东方 丰姬 人气投票,1,12,BV1jLq2BJEm7,https://www.bilibili.com/video/BV1jLq2BJEm7/,【Luastg】个人理解向丰姬魔改,温奇耶_萨缪尔-Official,2025-12-21,2025-12-21,day,2980,2980,13,13,05:31,character_search_candidate,cn_platform_context,绵月丰姬,2026-08-23,角色查询公开首屏候选；包含搜索噪声，不是全站作品量。只有题名与发布时间可作发现线索。
东方 丰姬 人气投票,1,14,BV1uUCEByEbS,https://www.bilibili.com/video/BV1uUCEByEbS/,【HJ制作】绵月丰姬fumo玩偶自制，解说版,不正经的鞋匠HJ,2025-11-13,2025-11-13,day,3671,3671,1,1,13:40,character_search_candidate,cn_platform_context,绵月丰姬,2026-08-23,角色查询公开首屏候选；包含搜索噪声，不是全站作品量。只有题名与发布时间可作发现线索。
东方 丰姬 人气投票,1,15,BV1Csm2YFELC,https://www.bilibili.com/video/BV1Csm2YFELC/,弹幕异夜剧全通关达成！就用最难的绵月丰姬关卡来纪念吧（最后有彩蛋）,降り注ぐ星の光,2024-11-11,2024-11-11,day,1016,1016,0,0,15:33,character_search_candidate,cn_platform_context,绵月丰姬,2026-08-23,角色查询公开首屏候选；包含搜索噪声，不是全站作品量。只有题名与发布时间可作发现线索。
东方 丰姬 人气投票,1,16,BV1PT411K7q6,https://www.bilibili.com/video/BV1PT411K7q6/,绵月丰姬、绵月依姬、铃仙二号的官方立绘一览,青云汉月,2022-09-30,2022-09-30,day,9770,9770,4,4,02:29,character_search_candidate,cn_platform_context,绵月丰姬;绵月依姬;铃仙二号;铃仙·优昙华院·因幡,2026-08-23,角色查询公开首屏候选；包含搜索噪声，不是全站作品量。只有题名与发布时间可作发现线索。
东方 丰姬 人气投票,1,17,BV1Vf4y1D76N,https://www.bilibili.com/video/BV1Vf4y1D76N/,【东方Mugen】绵月丰姬 VS 绵月依姬,Bob_Cattier华仔,2020-09-26,2020-09-26,day,4034,4034,0,0,02:58,character_search_candidate,cn_platform_context,绵月丰姬;绵月依姬,2026-08-23,角色查询公开首屏候选；包含搜索噪声，不是全站作品量。只有题名与发布时间可作发现线索。
东方 丰姬 人气投票,1,18,BV1hesteDE7E,https://www.bilibili.com/video/BV1hesteDE7E/,驾驶着除悲者的丰姬,FTEnoishi,2024-08-27,2024-08-27,day,3158,3158,5,5,07:26,character_search_candidate,cn_platform_context,绵月丰姬,2026-08-23,角色查询公开首屏候选；包含搜索噪声，不是全站作品量。只有题名与发布时间可作发现线索。
东方 丰姬 人气投票,1,19,BV1iUXzBqEk4,https://www.bilibili.com/video/BV1iUXzBqEk4/,听说是最难75帧5面？绵月丰姬75FPSLNNNNN！,空想的封缄线,03-31,2026-03-31,day_inferred_current_year,2122,2122,1,1,01:49,character_search_candidate,cn_platform_context,绵月丰姬,2026-08-23,角色查询公开首屏候选；包含搜索噪声，不是全站作品量。只有题名与发布时间可作发现线索。
东方 丰姬 人气投票,1,20,BV11ivTzeEGV,https://www.bilibili.com/video/BV11ivTzeEGV/,LUASTG 绵月丰姬弹幕重置-绵月的符卡,大鼻屎龟鸡,2025-08-26,2025-08-26,day,1.4万,14000,37,37,03:01,character_search_candidate,cn_platform_context,绵月丰姬,2026-08-23,角色查询公开首屏候选；包含搜索噪声，不是全站作品量。只有题名与发布时间可作发现线索。
东方 丰姬 人气投票,1,21,BV1oqe4zrETw,https://www.bilibili.com/video/BV1oqe4zrETw/,已严肃下跪，绵月丰姬LNNN禁月石,yuyuu--_,2025-08-22,2025-08-22,day,1.7万,17000,8,8,02:00,character_search_candidate,cn_platform_context,绵月丰姬,2026-08-23,角色查询公开首屏候选；包含搜索噪声，不是全站作品量。只有题名与发布时间可作发现线索。
东方 丰姬 人气投票,1,22,BV1oQba6ZEi3,https://www.bilibili.com/video/BV1oQba6ZEi3/,丰姬快跑 (疑似古明地恋的心跳大冒险花絮),闯祸的恋恋,08-17,2026-08-17,day_inferred_current_year,1049,1049,2,2,01:31,character_search_candidate,cn_platform_context,古明地恋;绵月丰姬,2026-08-23,角色查询公开首屏候选；包含搜索噪声，不是全站作品量。只有题名与发布时间可作发现线索。
东方 丰姬 人气投票,1,24,BV1KLX9B4EVZ,https://www.bilibili.com/video/BV1KLX9B4EVZ/,赫卡五十秒速通月都,小糠同志,03-30,2026-03-30,day_inferred_current_year,4.5万,45000,27,27,00:52,character_search_candidate,cn_platform_context,绵月丰姬,2026-08-23,角色查询公开首屏候选；包含搜索噪声，不是全站作品量。只有题名与发布时间可作发现线索。
东方 丰姬 人气投票,1,25,BV1Et421E7DW,https://www.bilibili.com/video/BV1Et421E7DW/,啊哈哈哈哈哈哈！！！！打工女王她值得！！！！,一般通过钢筋,2024-04-16,2024-04-16,day,1261,1261,1,1,06:03,character_search_candidate,cn_platform_context,绵月丰姬,2026-08-23,角色查询公开首屏候选；包含搜索噪声，不是全站作品量。只有题名与发布时间可作发现线索。
东方 丰姬 人气投票,1,26,BV1gKbxzjEZb,https://www.bilibili.com/video/BV1gKbxzjEZb/,又幻想了，幻想我人气投票排名达到前十，紫色小登吓到给我土下座，我把紫色小登拉回月都给月都所有人踩踩背，唉,赛博牢求,2025-08-15,2025-08-15,day,4.7万,47000,13,13,01:10,character_search_candidate,cn_platform_context,绵月丰姬,2026-08-23,角色查询公开首屏候选；包含搜索噪声，不是全站作品量。只有题名与发布时间可作发现线索。
东方 丰姬 人气投票,1,27,BV1Xz9ZBJEwA,https://www.bilibili.com/video/BV1Xz9ZBJEwA/,幻想少女大战DOSD（一周目阵容）旧梦篇L难度一回合击破依姬丰姬,二鳥鳥,05-03,2026-05-03,day_inferred_current_year,286,286,0,0,01:00:50,character_search_candidate,cn_platform_context,绵月丰姬;绵月依姬,2026-08-23,角色查询公开首屏候选；包含搜索噪声，不是全站作品量。只有题名与发布时间可作发现线索。
东方 丰姬 人气投票,1,28,BV1DcASz2EVp,https://www.bilibili.com/video/BV1DcASz2EVp/,东方锦上京lunatic146.81e（25.36e）（机体：魔理沙月）,PTYK,02-27,2026-02-27,day_inferred_current_year,953,953,0,0,39:16,character_search_candidate,cn_platform_context,雾雨魔理沙;绵月丰姬,2026-08-23,角色查询公开首屏候选；包含搜索噪声，不是全站作品量。只有题名与发布时间可作发现线索。
东方 丰姬 人气投票,1,29,BV1Xib96EEmF,https://www.bilibili.com/video/BV1Xib96EEmF/,今天是綿月豐姬！！！！一周年纪念日，你们知道吗？,-XWGT,08-17,2026-08-17,day_inferred_current_year,1920,1920,2,2,01:42,character_search_candidate,cn_platform_context,绵月丰姬,2026-08-23,角色查询公开首屏候选；包含搜索噪声，不是全站作品量。只有题名与发布时间可作发现线索。
东方 丰姬 人气投票,1,30,BV11NQkYcEgM,https://www.bilibili.com/video/BV11NQkYcEgM/,红梦和丰姬到底谁更快？这个视频告诉你！,红白巫女-,2025-03-14,2025-03-14,day,1226,1226,0,0,00:41,character_search_candidate,cn_platform_context,绵月丰姬,2026-08-23,角色查询公开首屏候选；包含搜索噪声，不是全站作品量。只有题名与发布时间可作发现线索。
东方 丰姬 人气投票,1,31,BV1rQVD62EF4,https://www.bilibili.com/video/BV1rQVD62EF4/,［恋跳三创］丰姬：我找到眼睛捐献者了,永远17岁的蛆,06-01,2026-06-01,day_inferred_current_year,,,,,,character_search_candidate,cn_platform_context,绵月丰姬,2026-08-23,角色查询公开首屏候选；包含搜索噪声，不是全站作品量。只有题名与发布时间可作发现线索。
东方 丰姬 人气投票,1,32,BV1zJenzfEg3,https://www.bilibili.com/video/BV1zJenzfEg3/,最初见杀五面，绵月丰姬LNNN！,千东万方,2025-08-25,2025-08-25,day,,,,,,character_search_candidate,cn_platform_context,绵月丰姬,2026-08-23,角色查询公开首屏候选；包含搜索噪声，不是全站作品量。只有题名与发布时间可作发现线索。
东方 丰姬 人气投票,1,33,BV1k9eXzdExJ,https://www.bilibili.com/video/BV1k9eXzdExJ/,紫:丰姬你就歌姬吧,可爱的幽幽子,2025-08-28,2025-08-28,day,,,,,,character_search_candidate,cn_platform_context,绵月丰姬,2026-08-23,角色查询公开首屏候选；包含搜索噪声，不是全站作品量。只有题名与发布时间可作发现线索。
东方 丰姬 人气投票,1,34,BV1rd4y1a7Xc,https://www.bilibili.com/video/BV1rd4y1a7Xc/,绵月丰姬转生关卡,一般通过钢筋,2022-12-26,2022-12-26,day,,,,,,character_search_candidate,cn_platform_context,绵月丰姬,2026-08-23,角色查询公开首屏候选；包含搜索噪声，不是全站作品量。只有题名与发布时间可作发现线索。
东方 丰姬 人气投票,1,35,BV12afZBXEtQ,https://www.bilibili.com/video/BV12afZBXEtQ/,来看看八年之前的丰姬大人实力如何【弹幕异夜剧】,RhNO3-lx,02-04,2026-02-04,day_inferred_current_year,,,,,,character_search_candidate,cn_platform_context,绵月丰姬,2026-08-23,角色查询公开首屏候选；包含搜索噪声，不是全站作品量。只有题名与发布时间可作发现线索。
