bv,url,title,author,published_date_display,published_date,date_precision,view_display,view_snapshot,danmaku_display,danmaku_snapshot,duration,content_category,poll_region_alignment,mentioned_rounds,character_mentions_cn,search_query,first_result_page,all_result_pages,observed_at,coverage_note
BV1zx411c7ez,https://www.bilibili.com/video/BV1zx411c7ez/,第七回东方人气投票前80位,爱吃辣的艾莉,2011-01-03,2011-01-03,day,1.6万,16000,9223,9223,20:52,other_direct_poll_item,region_unspecified,,,东方Project人气投票,1,1,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1vx411c7Pj,https://www.bilibili.com/video/BV1vx411c7Pj/,【注意报】第8回东方系列人气投票开始,转职的鲁鲁修,2011-02-18,2011-02-18,day,,,,,,support_or_mobilization,region_unspecified,8,,东方Project人气投票,29,29,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1vx411c7Gf,https://www.bilibili.com/video/BV1vx411c7Gf/,东方第8回人气投票排名猜想,三个月的日子,2011-02-19,2011-02-19,day,,,,,,result_or_ranking,region_unspecified,8,,东方Project人气投票,3,3,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1ex411c7kT,https://www.bilibili.com/video/BV1ex411c7kT/,【第8会东方人气投票】综合排名20,转职的鲁鲁修,2011-02-20,2011-02-20,day,2943,2943,479,479,11:37,result_or_ranking,region_unspecified,,,东方Project人气投票,14,14,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1ex411c7rU,https://www.bilibili.com/video/BV1ex411c7rU/,第８回東方人気投票 キャラ部門(40位～1位),死魂蝶,2011-02-20,2011-02-20,day,5634,5634,2107,2107,15:37,result_or_ranking,jp_poll,8,,东方Project人气投票,23,23,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1ex411c7rd,https://www.bilibili.com/video/BV1ex411c7rd/,【第8会东方人气投票】音乐部门前10,转职的鲁鲁修,2011-02-20,2011-02-20,day,,,,,,result_or_ranking,region_unspecified,,,东方Project人气投票,12,12,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1ex411c7QF,https://www.bilibili.com/video/BV1ex411c7QF/,东方第八次人气投票TOP85 中文版,旋转的黄瓜,2011-02-21,2011-02-21,day,2283,2283,132,132,08:17,result_or_ranking,cn_poll,,,东方Project人气投票,30,30,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV18x411w7aj,https://www.bilibili.com/video/BV18x411w7aj/,第⑨回东方wiki人气投票预测【音乐&角色部门】,七色,2012-02-03,2012-02-03,day,,,,,,other_direct_poll_item,region_unspecified,,,东方Project人气投票,8,8,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1hx411w7KJ,https://www.bilibili.com/video/BV1hx411w7KJ/,第⑨回東方wiki人气投票预想,七色,2012-02-03,2012-02-03,day,,,,,,other_direct_poll_item,region_unspecified,,,东方Project人气投票,4,4,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1Wx411w79B,https://www.bilibili.com/video/BV1Wx411w79B/,第⑨次东方人物人气投票结果（2012年2月）,G♂N,2012-02-26,2012-02-26,day,6692,6692,642,642,05:28,result_or_ranking,region_unspecified,,,东方Project人气投票,5,5,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1sx411w7F8,https://www.bilibili.com/video/BV1sx411w7F8/,第⑨回东方人气投票结果MMD版【1位～92位】,vilen,2012-02-26,2012-02-26,day,1.4万,14000,929,929,03:56,meme_or_derivative,region_unspecified,,,东方Project人气投票,5,5,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
