character_cn,character_jp,round21_rank,first_appearance,official_identity,official_ability,canon_meme_material,derivative_misread_risk,thbwiki_url,access_status,verification_date,source_note,verification_status,research_scope
古明地恋,古明地 こいし,1,东方地灵殿,并非有意却闭锁内心的觉,,,,https://thbwiki.cc/古明地恋,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
雾雨魔理沙,霧雨 魔理沙,2,东方红魔乡,普通的魔法使,,,,https://thbwiki.cc/雾雨魔理沙,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
博丽灵梦,博麗 霊夢,3,东方红魔乡,博丽神社巫女,,,,https://thbwiki.cc/博丽灵梦,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
芙兰朵露·斯卡蕾特,フランドール・スカーレット,4,东方红魔乡,吸血鬼的破坏性妹妹,,,,https://thbwiki.cc/芙兰朵露·斯卡蕾特,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
十六夜咲夜,十六夜 咲夜,5,东方红魔乡,完美潇洒的从者,,,,https://thbwiki.cc/十六夜咲夜,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
蕾米莉亚·斯卡蕾特,レミリア・スカーレット,6,东方红魔乡,鲜红的恶魔,,,,https://thbwiki.cc/蕾米莉亚·斯卡蕾特,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
魂魄妖梦,魂魄 妖夢,7,东方妖妖梦,半人半灵的园丁,,,,https://thbwiki.cc/魂魄妖梦,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
古明地觉,古明地 さとり,8,东方地灵殿,怨灵也为之惧怯的少女,,,,https://thbwiki.cc/古明地觉,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
藤原妹红,藤原 妹紅,9,东方永夜抄,不老不死的竹林引路人,,,,https://thbwiki.cc/藤原妹红,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
琪露诺,チルノ,10,东方红魔乡,冰之妖精,,,,https://thbwiki.cc/琪露诺,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
射命丸文,射命丸 文,11,东方文花帖（书籍）,鸦天狗新闻工作者,,,,https://thbwiki.cc/射命丸文,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
西行寺幽幽子,西行寺 幽々子,12,东方妖妖梦,冥界的亡灵,,,,https://thbwiki.cc/西行寺幽幽子,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
东风谷早苗,東風谷 早苗,13,东方风神录,奇迹的现人神,,,,https://thbwiki.cc/东风谷早苗,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
