character_jp,character_jp_normalized,character_cn,first_appearance_work_id,source_path,source_sheet
魅魔,魅魔,魅魔,1,fun.xlsx,Sheet1
サリエル,サリエル,萨丽爱尔,1,fun.xlsx,Sheet1
コンガラ,コンガラ,矜羯罗,1,fun.xlsx,Sheet1
エリス,エリス,依莉斯,1,fun.xlsx,Sheet1
ユウゲンマガン,ユウゲンマガン,幽幻魔眼,1,fun.xlsx,Sheet1
シンギョク,シンギョク,神玉,1,fun.xlsx,Sheet1
キクリ,キクリ,菊理,1,fun.xlsx,Sheet1
明羅,明羅,明罗,2,fun.xlsx,Sheet1
里香,里香,里香,2,fun.xlsx,Sheet1
玄爺,玄爺,玄爷,2,fun.xlsx,Sheet1
岡崎 夢美,岡崎夢美,冈崎梦美,3,fun.xlsx,Sheet1
カナ・アナベラル,カナ・アナベラル,卡娜·安娜贝拉尔,3,fun.xlsx,Sheet1
北白河 ちゆり,北白河ちゆり,北白河千百合,3,fun.xlsx,Sheet1
エレン,エレン,爱莲,3,fun.xlsx,Sheet1
小兎姫,小兎姫,小兔姬,3,fun.xlsx,Sheet1
るーこと,るーこと,留琴,3,fun.xlsx,Sheet1
朝倉 理香子,朝倉理香子,朝仓理香子,3,fun.xlsx,Sheet1
ミミちゃん,ミミちゃん,咪咪号,3,fun.xlsx,Sheet1
幻月,幻月,幻月,4,fun.xlsx,Sheet1
夢月,夢月,梦月,4,fun.xlsx,Sheet1
エリー,エリー,艾丽,4,fun.xlsx,Sheet1
くるみ,くるみ,胡桃,4,fun.xlsx,Sheet1
オレンジ,オレンジ,奥莲姬,4,fun.xlsx,Sheet1
神綺,神綺,神绮,5,fun.xlsx,Sheet1
夢子,夢子,梦子,5,fun.xlsx,Sheet1
マイ,マイ,舞,5,fun.xlsx,Sheet1
ユキ,ユキ,雪,5,fun.xlsx,Sheet1
ルイズ,ルイズ,露易兹,5,fun.xlsx,Sheet1
サラ,サラ,萨拉,5,fun.xlsx,Sheet1
フランドール・スカーレット,フランドール・スカーレット,芙兰朵露·斯卡蕾特,6,fun.xlsx,Sheet1
十六夜 咲夜,十六夜咲夜,十六夜咲夜,6,fun.xlsx,Sheet1
レミリア・スカーレット,レミリア・スカーレット,蕾米莉亚·斯卡蕾特,6,fun.xlsx,Sheet1
チルノ,チルノ,琪露诺,6,fun.xlsx,Sheet1
パチュリー・ノーレッジ,パチュリー・ノーレッジ,帕秋莉·诺蕾姬,6,fun.xlsx,Sheet1
紅 美鈴,紅美鈴,红美铃,6,fun.xlsx,Sheet1
ルーミア,ルーミア,露米娅,6,fun.xlsx,Sheet1
小悪魔,小悪魔,小恶魔,6,fun.xlsx,Sheet1
大妖精,大妖精,大妖精,6,fun.xlsx,Sheet1
魂魄 妖夢,魂魄妖夢,魂魄妖梦,7,fun.xlsx,Sheet1
西行寺 幽々子,西行寺幽々子,西行寺幽幽子,7,fun.xlsx,Sheet1
アリス・マーガトロイド,アリス・マーガトロイド,爱丽丝·玛格特洛依德,7,fun.xlsx,Sheet1
八雲 紫,八雲紫,八云紫,7,fun.xlsx,Sheet1
八雲 藍,八雲藍,八云蓝,7,fun.xlsx,Sheet1
橙,橙,橙,7,fun.xlsx,Sheet1
