alias_cn,canonical_cn,alias_type,mapping_status,source,observed_rounds,observed_forms,confidence,mapping_note
丁礼田舞,丁礼田舞,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
丁礼田舞,丁礼田舞,thbwiki_cn_reference_name,exact_fun_mapping,https://thbwiki.cc/丁礼田舞,6;7;8;9;10;11,丁礼田舞,high,THBWiki角色表中文词条名对齐至fun.xlsx项目规范名；THBWiki明确声明其收录标准不代表官方意见。
万岁乐,万岁乐,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
三头慧之子,三头慧之子,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
三头慧之子,三头慧之子,thbwiki_cn_reference_name,exact_fun_mapping,https://thbwiki.cc/三头慧之子,11,三头慧之子,high,THBWiki角色表中文词条名对齐至fun.xlsx项目规范名；THBWiki明确声明其收录标准不代表官方意见。
上白泽慧音,上白泽慧音,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
上白泽慧音,上白泽慧音,thbwiki_cn_reference_name,exact_fun_mapping,https://thbwiki.cc/上白泽慧音,1;2;3;4;5;6;7;8;9;10;11,上白泽慧音,high,THBWiki角色表中文词条名对齐至fun.xlsx项目规范名；THBWiki明确声明其收录标准不代表官方意见。
慧音,上白泽慧音,nickname_or_short_form,exact_fun_mapping,curated_cn_translation_aliases,,慧音,medium,仅用于中文投票标签对齐；昵称/二设称呼不应解释为一设名称。
东风谷早苗,东风谷早苗,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
东风谷早苗,东风谷早苗,thbwiki_cn_reference_name,exact_fun_mapping,https://thbwiki.cc/东风谷早苗,1;2;3;4;5;6;7;8;9;10;11,东风谷早苗,high,THBWiki角色表中文词条名对齐至fun.xlsx项目规范名；THBWiki明确声明其收录标准不代表官方意见。
早苗,东风谷早苗,nickname_or_short_form,exact_fun_mapping,curated_cn_translation_aliases,,早苗,medium,仅用于中文投票标签对齐；昵称/二设称呼不应解释为一设名称。
丰聪耳神子,丰聪耳神子,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
丰聪耳神子,丰聪耳神子,thbwiki_cn_reference_name,exact_fun_mapping,https://thbwiki.cc/丰聪耳神子,1;2;3;4;5;6;7;8;9;10;11,丰聪耳神子,high,THBWiki角色表中文词条名对齐至fun.xlsx项目规范名；THBWiki明确声明其收录标准不代表官方意见。
神子,丰聪耳神子,nickname_or_short_form,exact_fun_mapping,curated_cn_translation_aliases,,神子,medium,仅用于中文投票标签对齐；昵称/二设称呼不应解释为一设名称。
乌鸦（地狱鸦、紫和文的使魔等）,乌鸦（地狱鸦、紫和文的使魔等）,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
九十九八桥,九十九八桥,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
九十九八桥,九十九八桥,thbwiki_cn_reference_name,exact_fun_mapping,https://thbwiki.cc/九十九八桥,2;3;4;5;6;7;8;9;10;11,九十九八桥,high,THBWiki角色表中文词条名对齐至fun.xlsx项目规范名；THBWiki明确声明其收录标准不代表官方意见。
九十九弁弁,九十九弁弁,primary_fun_xlsx_mapping,verified_fun_xlsx,fun.xlsx,,,high,fun.xlsx译名列/character_name_crosswalk主映射；不等于官方中文译名。
