raw_cn_label,mapping_status,suggested_canonical_cn,observed_rounds,rank_examples,resolution_note
Flower～战车,unmapped_manual_review,,1;2;3;4;5;6;7;8;9;10;11,121;141;149;173;178;163;173;190,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
Reisen,unmapped_manual_review,,1;2;3;4;5;6;7;8;9;10;11,115;117;112;126;126;140;141;150,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
STG作品中没有名称的BOSS,collective_or_unnamed_unresolved,,3,102,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
STG作品中没有名称的角色,collective_or_unnamed_unresolved,,5;6;7;8;9,133;135;135;149;160,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
STG作品中没有名称的角色3,collective_or_unnamed_unresolved,,4,125,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
UFO,unmapped_manual_review,,1;2;3;4;5;6;7;8;9;10;11,95;121;115;116;133;145;147;150,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
久米 / 竿打,collective_or_unnamed_unresolved,,1;2;3;4;5;6;7;8;9;10;11,130;130;149;154;167;196;156;201,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
人面犬,unmapped_manual_review,,4;5;6;7;8;9,173;178;196;189;201;210,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
伊豆能卖,unmapped_manual_review,,5;6;7;8;9;10;11,178;172;162;201;189;216;202,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
伊豆能卖5,unmapped_manual_review,,4,173,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
佑天上人,unmapped_manual_review,,3;4;5;6;7;8;9,149;173;178;172;189;201;210,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
假扮魔理沙的妖狐,unmapped_manual_review,,7;8;9;10;11,131;144;139;178;165,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
儚月抄召唤诸神1,unmapped_manual_review,,3,129,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
兜风四人组,unmapped_manual_review,,5;6;7;8;9;10;11,178;163;162;190;189;216;227,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
八尺大人,unmapped_manual_review,,4;5;6;7;8;9;10;11,154;158;163;189;201;210;196;212,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
前鬼 / 后鬼,collective_or_unnamed_unresolved,,4;5;6;7;8;9,173;158;196;189;201;189,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
动物灵（含野狼、水獭、大鹫）,collective_or_unnamed_unresolved,,8;9,138;120,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
卖脚婆,unmapped_manual_review,,6;7;8;9;10;11,196;189;201;210;216;212,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
反狱王,unmapped_manual_review,,9,180,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
大老爷,unmapped_manual_review,,5;6;7;8;9;10;11,178;163;189;201;210;199;227,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
天宇受卖命,unmapped_manual_review,,5;6;7;8;9;10;11,167;196;189;201;210;216;212,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
天宇受卖命5,unmapped_manual_review,,4,154,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
天照大御神,unmapped_manual_review,,5;6;7;8;9;10;11,178;196;173;201;210;216;227,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
天照大御神 / 石凝姥命 / 天宇受卖命 / 伊豆能卖,collective_or_unnamed_unresolved,,1;2,121;141,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
天照大御神5,unmapped_manual_review,,4,154,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
妖怪兔,unmapped_manual_review,,5;6;7;8;9;10;11,140;155;156;178;163;210;227,组合候选/无名角色/新作描述或未在fun.xlsx映射中；禁止自动拆成单角色。
