round,category,overall_status,summary_status,detail_status,item_api_status,questionnaire_status,crossvote_status,available,summary_pages_expected_or_discovered,summary_pages_downloaded,summary_pages_omitted_by_policy,local_source_status,local_source_evidence,local_source_workbooks,local_source_hashes,detail_ids_discovered,detail_pages_expected,detail_pages_downloaded,votedate_json,votesex_json,votegeo_json,votepaper_json,questionnaire_groups_expected,questionnaire_groups_downloaded,crossvote_default_available,crossvote_default_parameters,crossvote_expanded_available,crossvote_expanded_parameters,fetch_failure_count,fetch_failure_http_statuses,reason_pages_followed,notes
1,chara,available_crawled,available_crawled,available_crawled,official_not_offered,official_not_offered,official_not_offered,True,6,6,0,not_used,,[],[],138,138,138,0,0,0,0,0,0,False,{},False,{},0,[],0,
1,music,available_crawled,available_crawled,available_crawled,official_not_offered,official_not_offered,official_not_offered,True,5,5,0,not_used,,[],[],403,403,403,0,0,0,0,0,0,False,{},False,{},0,[],0,
1,work,available_crawled,available_crawled,official_not_offered,official_not_offered,official_not_offered,official_not_offered,True,4,4,0,not_used,,[],[],0,0,0,0,0,0,0,0,0,False,{},False,{},0,[],0,
1,work_characters,official_not_offered,official_not_offered,official_not_offered,official_not_offered,official_not_offered,official_not_offered,False,0,0,0,not_used,,[],[],0,0,0,0,0,0,0,0,0,False,{},False,{},0,[],0,
1,cp,official_not_offered,official_not_offered,official_not_offered,official_not_offered,official_not_offered,official_not_offered,False,0,0,0,not_used,,[],[],0,0,0,0,0,0,0,0,0,False,{},False,{},0,[],0,
1,game,official_not_offered,official_not_offered,official_not_offered,official_not_offered,official_not_offered,official_not_offered,False,0,0,0,not_used,,[],[],0,0,0,0,0,0,0,0,0,False,{},False,{},0,[],0,
1,paper,available_crawled,available_crawled,official_not_offered,official_not_offered,available_crawled,official_not_offered,True,1,1,0,not_used,,[],[],0,0,0,0,0,0,0,0,0,False,{},False,{},0,[],0,
2,chara,available_crawled,available_crawled,available_crawled,official_not_offered,official_not_offered,official_not_offered,True,4,4,0,not_used,,[],[],152,152,152,0,0,0,0,0,0,False,{},False,{},0,[],0,
2,music,available_crawled,available_crawled,available_crawled,official_not_offered,official_not_offered,official_not_offered,True,4,4,0,not_used,,[],[],439,439,439,0,0,0,0,0,0,False,{},False,{},0,[],0,
2,work,available_crawled,available_crawled,available_crawled,official_not_offered,official_not_offered,official_not_offered,True,5,5,0,not_used,,[],[],31,31,31,0,0,0,0,0,0,False,{},False,{},0,[],0,
2,work_characters,available_crawled,available_crawled,available_crawled,official_not_offered,official_not_offered,official_not_offered,True,0,0,0,not_used,,[],[],29,29,29,0,0,0,0,0,0,False,{},False,{},0,[],0,
2,cp,available_crawled,available_crawled,official_not_offered,official_not_offered,official_not_offered,official_not_offered,True,2,2,0,not_used,,[],[],0,0,0,0,0,0,0,0,0,False,{},False,{},0,[],0,
2,game,available_crawled,available_crawled,official_not_offered,official_not_offered,official_not_offered,official_not_offered,True,0,0,0,not_used,,[],[],0,0,0,0,0,0,0,0,0,False,{},False,{},0,[],0,
2,paper,available_crawled,available_crawled,official_not_offered,official_not_offered,available_crawled,official_not_offered,True,1,1,0,not_used,,[],[],0,0,0,0,0,0,0,0,0,False,{},False,{},0,[],0,
3,chara,available_crawled,available_crawled,available_crawled,official_not_offered,official_not_offered,official_not_offered,True,4,4,0,not_used,,[],[],163,163,163,0,0,0,0,0,0,False,{},False,{},0,[],0,
3,music,available_crawled,available_crawled,available_crawled,official_not_offered,official_not_offered,official_not_offered,True,4,4,0,not_used,,[],[],445,445,445,0,0,0,0,0,0,False,{},False,{},0,[],0,
3,work,available_crawled,available_crawled,available_crawled,official_not_offered,official_not_offered,official_not_offered,True,5,5,0,not_used,,[],[],32,32,32,0,0,0,0,0,0,False,{},False,{},0,[],0,
3,work_characters,available_crawled,available_crawled,available_crawled,official_not_offered,official_not_offered,official_not_offered,True,0,0,0,not_used,,[],[],29,29,29,0,0,0,0,0,0,False,{},False,{},0,[],0,
3,cp,available_crawled,available_crawled,official_not_offered,official_not_offered,official_not_offered,official_not_offered,True,2,2,0,not_used,,[],[],0,0,0,0,0,0,0,0,0,False,{},False,{},0,[],0,
3,game,available_crawled,available_crawled,official_not_offered,official_not_offered,official_not_offered,official_not_offered,True,0,0,0,not_used,,[],[],0,0,0,0,0,0,0,0,0,False,{},False,{},0,[],0,
3,paper,available_crawled,available_crawled,official_not_offered,official_not_offered,available_crawled,official_not_offered,True,1,1,0,not_used,,[],[],0,0,0,0,0,0,0,0,0,False,{},False,{},0,[],0,
4,chara,available_crawled,available_crawled,available_crawled,official_not_offered,official_not_offered,official_not_offered,True,4,4,0,not_used,,[],[],191,191,191,0,0,0,0,0,0,False,{},False,{},0,[],0,
4,music,available_crawled,available_crawled,available_crawled,official_not_offered,official_not_offered,official_not_offered,True,4,4,0,not_used,,[],[],480,480,480,0,0,0,0,0,0,False,{},False,{},0,[],0,
