"original_path","bytes","sha256","action","destination_or_reference","reason","processed_at"
".tmp_cn_api_v5_votedate.json","11404","e1108c1c67190baf354070e32d9279993958e48c0d11f2deff89db461bfa0749","deleted_exact_formal_duplicate","data_raw/cn_official_legacy/round_05/raw/api/items/chara/1/votedate.json","Byte-identical SHA-256-verified formal raw file already exists.","2026-08-19T04:00:14.7075130+08:00"
".tmp_cn_api_v5_votegeo.json","10452","15c2a79a491707168cda8b7c417f49f1b8b612624eb00d49fcff52472d30896f","deleted_exact_formal_duplicate","data_raw/cn_official_legacy/round_05/raw/api/items/chara/1/votegeo.json","Byte-identical SHA-256-verified formal raw file already exists.","2026-08-19T04:00:14.7075130+08:00"
".tmp_cn_api_v5_votepaper_one.json","3130","7319e169757c6edb38e0fce3d7d159b5b3da4bced22a629aaed3f07f67f90d52","deleted_semantic_subset","data_raw/cn_official_legacy/round_05/raw/api/items/chara/1/votepaper.json","title/data/index are exactly the first-question projection of the formal 14-question response.","2026-08-19T04:00:14.7075130+08:00"
".tmp_cn_api_v5_votesex.json","1651","689c68d3169a3e30136c7cd0f873e821e9bf99af14bc563e3e2438f14da6a27c","deleted_exact_formal_duplicate","data_raw/cn_official_legacy/round_05/raw/api/items/chara/1/votesex.json","Byte-identical SHA-256-verified formal raw file already exists.","2026-08-19T04:00:14.7075130+08:00"
".tmp_cn_probe_body.html","1331","b159e3dc7e321b85cdfbd3f34401172204d00a7c0736e2cc7d188fe3410bee0f","deleted_exact_formal_duplicate","data_raw/cn_official_legacy/round_01/raw/details/music/108.html","Byte-identical SHA-256-verified formal raw file already exists.","2026-08-19T04:00:14.7075130+08:00"
".tmp_cn_probe_headers.txt","587","7c43e5f19a93cb4d92240e320a2d54b9d8295d3a6764665e3f74d994c6293f69","archived_network_diagnostic","archive_legacy/network_diagnostics/2026-08-15-cn-probes/.tmp_cn_probe_headers.txt","Retained HTTP diagnostic without analysis value in the main workspace.","2026-08-19T04:00:14.7075130+08:00"
".tmp_cn_probe_v2_body.html","66","1095648e6e5da56ff4a82a1a27d02fd5af05134f6ae1ddf5126b5da52ff51509","archived_network_diagnostic","archive_legacy/network_diagnostics/2026-08-15-cn-probes/.tmp_cn_probe_v2_body.html","Retained HTTP diagnostic without analysis value in the main workspace.","2026-08-19T04:00:14.7075130+08:00"
".tmp_cn_probe_v2_headers.txt","298","3212c82c20b4470177d81c19915a15dee52041cca384a2cec8b8b8b5f79a9a89","archived_network_diagnostic","archive_legacy/network_diagnostics/2026-08-15-cn-probes/.tmp_cn_probe_v2_headers.txt","Retained HTTP diagnostic without analysis value in the main workspace.","2026-08-19T04:00:14.7075130+08:00"
".tmp_cn_probe_v2_i1_body.html","65","fb7a95febd4bb3e3de831352a1db097084da3483067110f26dab5622aeae86ae","archived_network_diagnostic","archive_legacy/network_diagnostics/2026-08-15-cn-probes/.tmp_cn_probe_v2_i1_body.html","Retained HTTP diagnostic without analysis value in the main workspace.","2026-08-19T04:00:14.7075130+08:00"
".tmp_cn_probe_v2_i1_headers.txt","298","ddc9d26ab24270e474218cb01c9351c09fdb3a1fbb5d0cdef7c3712e6998b66c","archived_network_diagnostic","archive_legacy/network_diagnostics/2026-08-15-cn-probes/.tmp_cn_probe_v2_i1_headers.txt","Retained HTTP diagnostic without analysis value in the main workspace.","2026-08-19T04:00:14.7075130+08:00"
".tmp_cn_v1_chara_s1.html","20775","3b3362d3dd6d594750308ddb4fdf24db44d58ea38df9ed384a6cd6e176fdcfbe","deleted_exact_formal_duplicate","data_raw/cn_official_legacy/round_01/raw/pages/chara/mod_chara__step_1.html","Byte-identical SHA-256-verified formal raw file already exists.","2026-08-19T04:00:14.7075130+08:00"
".tmp_cn_v1_chara_s2.html","23017","cfde4ea3f6e8f6521ccb448776ecf186876604223ab48f880eac0e6e73d5c7b5","deleted_exact_formal_duplicate","data_raw/cn_official_legacy/round_01/raw/pages/chara/mod_chara__step_2.html","Byte-identical SHA-256-verified formal raw file already exists.","2026-08-19T04:00:14.7075130+08:00"
".tmp_cn_v1_chara_s3.html","23038","1c0eac8ef17fe9b78466ffb0eec3d3d2fc4ed755c8c743eb5bc7cac72bdc0194","deleted_exact_formal_duplicate","data_raw/cn_official_legacy/round_01/raw/pages/chara/mod_chara__step_3.html","Byte-identical SHA-256-verified formal raw file already exists.","2026-08-19T04:00:14.7075130+08:00"
".tmp_cn_v1_chara_s4.html","26621","5dcfcbd84478748a9c65e33fb43fb6230a61ea12fd100174b9babeacb982d41c","deleted_exact_formal_duplicate","data_raw/cn_official_legacy/round_01/raw/pages/chara/mod_chara__step_4__w_2.html","Byte-identical SHA-256-verified formal raw file already exists.","2026-08-19T04:00:14.7075130+08:00"
".tmp_cn_v1_chara_s5.html","127583","c1bf8c7e0455d4c397d82feb5f8d55b1e07fca2aae0ffc0363ec91c523505e2b","deleted_exact_formal_duplicate","data_raw/cn_official_legacy/round_01/raw/pages/chara/mod_chara__step_5.html","Byte-identical SHA-256-verified formal raw file already exists.","2026-08-19T04:00:14.7075130+08:00"
".tmp_cn_v1_chara.html","4802","ade4fb113ac474bb570ceb68ce27867877eeb309fc1a4c54ea2cc8325c911c03","deleted_exact_formal_duplicate","data_raw/cn_official_legacy/round_01/raw/pages/chara/index.html","Byte-identical SHA-256-verified formal raw file already exists.","2026-08-19T04:00:14.7075130+08:00"
".tmp_cn_v1_detail_chara1.html","1320","da9dd3f289816155f68dd161a3de29f6f9d7e6e6cd4d6ef60158db51a646f332","deleted_exact_formal_duplicate","data_raw/cn_official_legacy/round_01/raw/details/chara/1.html","Byte-identical SHA-256-verified formal raw file already exists.","2026-08-19T04:00:14.7075130+08:00"
".tmp_cn_v1_detail_music1.html","1320","049c53ba7bcca0e59cc8da425fda464e3ed586465017283b8c1cf4253066d4a1","deleted_exact_formal_duplicate","data_raw/cn_official_legacy/round_01/raw/details/music/1.html","Byte-identical SHA-256-verified formal raw file already exists.","2026-08-19T04:00:14.7075130+08:00"
".tmp_cn_v1_detail_work1.html","799","719e8d5376c7c0567f9719c24ce35fd5dfe97b67aa11436fde80d0f0fea135e2","deleted_non_data_probe","","HTML contains only a link to voting reasons and no numeric or entity detail data.","2026-08-19T04:00:14.7075130+08:00"
".tmp_cn_v1_music_s1.html","72277","94c32b71c5fd1d43c4fe1bf92f9a5199e24adcfbf1df892348c412dd2de8b607","deleted_exact_formal_duplicate","data_raw/cn_official_legacy/round_01/raw/pages/music/mod_music__step_1.html","Byte-identical SHA-256-verified formal raw file already exists.","2026-08-19T04:00:14.7075130+08:00"
".tmp_cn_v1_music_s2.html","80278","225c8a8f3dc0f61528f11561434694dd929feeb7e15eee48fe3d3a420dc883df","deleted_exact_formal_duplicate","data_raw/cn_official_legacy/round_01/raw/pages/music/mod_music__step_2.html","Byte-identical SHA-256-verified formal raw file already exists.","2026-08-19T04:00:14.7075130+08:00"
".tmp_cn_v1_music_s3.html","80278","bed1430b25921b82304609ccd6c4bc88b3d54cb0572de50a8611ff4383a52374","deleted_exact_formal_duplicate","data_raw/cn_official_legacy/round_01/raw/pages/music/mod_music__step_3.html","Byte-identical SHA-256-verified formal raw file already exists.","2026-08-19T04:00:14.7075130+08:00"
".tmp_cn_v1_music_s4.html","65798","0e6d591e464b41de251b2e6b272fe71781b9dba2829e4c59e6618830eb74779e","deleted_exact_formal_duplicate","data_raw/cn_official_legacy/round_01/raw/pages/music/mod_music__step_4__w_2.html","Byte-identical SHA-256-verified formal raw file already exists.","2026-08-19T04:00:14.7075130+08:00"
".tmp_cn_v1_music.html","4664","dfdb92e3540c9ac468a8aedf453fac6c9ec7f2881fca824301a4379781bc6b02","deleted_exact_formal_duplicate","data_raw/cn_official_legacy/round_01/raw/pages/music/index.html","Byte-identical SHA-256-verified formal raw file already exists.","2026-08-19T04:00:14.7075130+08:00"
".tmp_cn_v1_paper.html","17869","ac5c6dccacd802bf952d57e5aed04bf93d92b0eee03c80b77c4586dda9f8a381","deleted_exact_formal_duplicate","data_raw/cn_official_legacy/round_01/raw/pages/paper/index.html","Byte-identical SHA-256-verified formal raw file already exists.","2026-08-19T04:00:14.7075130+08:00"
".tmp_cn_v1_root.html","4492","ca6aa3778bd7bf90fb964dbfb4cb988a6c829e565cf66a8db830251ad4ab0b7d","deleted_exact_formal_duplicate","data_raw/cn_official_legacy/round_01/raw/pages/root.html","Byte-identical SHA-256-verified formal raw file already exists.","2026-08-19T04:00:14.7075130+08:00"
".tmp_cn_v1_work_s1.html","6991","a492281cf0dd0dffc30a1131e52aa336e4442d17e9678a38e386bea4a88ea3de","deleted_exact_formal_duplicate","data_raw/cn_official_legacy/round_01/raw/pages/work/mod_work__step_1.html","Byte-identical SHA-256-verified formal raw file already exists.","2026-08-19T04:00:14.7075130+08:00"
