round,rank,character_cn,vote_count,primary_count,primary_rate,weighted_score,vote_share,primary_share,male_count,male_rate,female_count,female_rate,source_path,source_sheet
1,1,博丽灵梦,1728,491,0.2841,2219,0.2715,0.0916,,0.7986,,0.2014,TouhouVote_cn.xlsx,1
1,2,芙兰朵露·斯卡蕾特,1385,374,0.27,1759,0.2176,0.0698,,0.6917,,0.3083,TouhouVote_cn.xlsx,1
1,2,西行寺幽幽子,1385,306,0.2209,1691,0.2176,0.0571,,0.7213,,0.2787,TouhouVote_cn.xlsx,1
1,4,蕾米莉亚·斯卡蕾特,1323,290,0.2192,1613,0.2079,0.0541,,0.7067,,0.2933,TouhouVote_cn.xlsx,1
1,5,十六夜咲夜,1138,252,0.2214,1390,0.1788,0.047,,0.7724,,0.2276,TouhouVote_cn.xlsx,1
1,6,雾雨魔理沙,1111,274,0.2466,1385,0.1745,0.0511,,0.6571,,0.3429,TouhouVote_cn.xlsx,1
1,7,八云紫,1099,257,0.2338,1356,0.1727,0.048,,0.7616,,0.2384,TouhouVote_cn.xlsx,1
1,8,爱丽丝·玛格特洛依德,1028,264,0.2568,1292,0.1615,0.0493,,0.7422,,0.2578,TouhouVote_cn.xlsx,1
1,9,帕秋莉·诺蕾姬,929,206,0.2217,1135,0.146,0.0384,,0.7513,,0.2487,TouhouVote_cn.xlsx,1
1,10,藤原妹红,915,237,0.259,1152,0.1438,0.0442,,0.5617,,0.4383,TouhouVote_cn.xlsx,1
1,11,琪露诺,892,200,0.2242,1092,0.1401,0.0373,,0.8061,,0.1939,TouhouVote_cn.xlsx,1
1,12,魂魄妖梦,885,187,0.2113,1072,0.139,0.0349,,0.7729,,0.2271,TouhouVote_cn.xlsx,1
1,13,东风谷早苗,756,153,0.2024,909,0.1188,0.0286,,0.8214,,0.1786,TouhouVote_cn.xlsx,1
1,14,射命丸文,681,142,0.2085,823,0.107,0.0265,,0.7606,,0.2394,TouhouVote_cn.xlsx,1
1,15,古明地觉,664,148,0.2229,812,0.1043,0.0276,,0.747,,0.253,TouhouVote_cn.xlsx,1
1,16,伊吹萃香,646,109,0.1687,755,0.1015,0.0203,,0.808,,0.192,TouhouVote_cn.xlsx,1
1,17,风见幽香,560,104,0.1857,664,0.088,0.0194,,0.6929,,0.3071,TouhouVote_cn.xlsx,1
1,18,铃仙·优昙华院·因幡,544,83,0.1526,627,0.0855,0.0155,,0.8438,,0.1563,TouhouVote_cn.xlsx,1
1,19,古明地恋,519,68,0.131,587,0.0815,0.0127,,0.6281,,0.3719,TouhouVote_cn.xlsx,1
1,20,比那名居天子,496,73,0.1472,569,0.0779,0.0136,,0.8266,,0.1734,TouhouVote_cn.xlsx,1
1,21,蓬莱山辉夜,474,97,0.2046,571,0.0745,0.0181,,0.6603,,0.3397,TouhouVote_cn.xlsx,1
1,22,键山雏,438,79,0.1804,517,0.0688,0.0147,,0.7192,,0.2808,TouhouVote_cn.xlsx,1
1,23,红美铃,427,76,0.178,503,0.0671,0.0142,,0.7424,,0.2576,TouhouVote_cn.xlsx,1
1,24,洩矢诹访子,361,61,0.169,422,0.0567,0.0114,,0.7341,,0.2659,TouhouVote_cn.xlsx,1
1,25,四季映姬·夜摩仙那度,340,36,0.1059,376,0.0534,0.0067,,0.6088,,0.3912,TouhouVote_cn.xlsx,1
1,26,上白泽慧音,309,35,0.1133,344,0.0485,0.0065,,0.5955,,0.4045,TouhouVote_cn.xlsx,1
1,27,灵乌路空,301,68,0.2259,369,0.0473,0.0127,,0.7608,,0.2392,TouhouVote_cn.xlsx,1
1,28,露米娅,267,39,0.1461,306,0.0419,0.0073,,0.7715,,0.2285,TouhouVote_cn.xlsx,1
1,29,圣白莲,241,37,0.1535,278,0.0379,0.0069,,0.7925,,0.2075,TouhouVote_cn.xlsx,1
