region,round,scope,question,option,count,rate,denominator,denominator_basis,question_type,source_note
JP,21,overall,人气投票得知渠道,Youtubeで話題になっているのをみて知った,3666,0.3582527118147171,10233.0,derived_from_official_count_and_rate,may_be_multiple_choice,日区第21回总体问卷，不是角色支持率。
JP,21,overall,人气投票得知渠道,TwitterやTiktokで話題になっているのをみて知った,2725,0.2662953190657676,10233.0,derived_from_official_count_and_rate,may_be_multiple_choice,日区第21回总体问卷，不是角色支持率。
JP,21,overall,人气投票得知渠道,ニコニコ動画（生放送なども含む）で話題になっているのをみて知った,523,0.0511091566500537,10233.0,derived_from_official_count_and_rate,may_be_multiple_choice,日区第21回总体问卷，不是角色支持率。
JP,21,overall,东方魅力,音楽,15201,0.9529810043257476,15951.0,derived_from_official_count_and_rate,may_be_multiple_choice,日区第21回总体问卷，不是角色支持率。
JP,21,overall,东方魅力,キャラクタ,14568,0.9132969719766786,15951.0,derived_from_official_count_and_rate,may_be_multiple_choice,日区第21回总体问卷，不是角色支持率。
JP,21,overall,东方魅力,世界観,12775,0.8008902263180991,15951.0,derived_from_official_count_and_rate,may_be_multiple_choice,日区第21回总体问卷，不是角色支持率。
JP,21,overall,东方魅力,二次創作作品,12687,0.7953733308256535,15951.0,derived_from_official_count_and_rate,may_be_multiple_choice,日区第21回总体问卷，不是角色支持率。
CN,10,overall,您在进行何种类型的二次创作？,音乐/音声类,2006,0.2318003235498035,8654,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您在进行何种类型的二次创作？,视频类,1880,0.2172405823896464,8654,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您在进行何种类型的二次创作？,服装饰品类,328,0.037901548416917,8654,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您在进行何种类型的二次创作？,插画类,2812,0.3249364455743009,8654,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您在进行何种类型的二次创作？,软件/游戏类,1446,0.167090362837994,8654,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您在进行何种类型的二次创作？,文字类,2527,0.2920036977120406,8654,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您在进行何种类型的二次创作？,实体周边类,550,0.0635544256990986,8654,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您在进行何种类型的二次创作？,漫画类,1693,0.1956320776519528,8654,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您在进行何种类型的二次创作？,其它,1947,0.2249826669748093,8654,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您对国外二次同人作品的购买力范围是？（单个作品，含手续费、税费、运费等）,单价300RMB以内,672,0.1195729537366548,5620,question-specific respondent_n,Single,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您对国外二次同人作品的购买力范围是？（单个作品，含手续费、税费、运费等）,单价500RMB以上,866,0.1540925266903914,5620,question-specific respondent_n,Single,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您对国外二次同人作品的购买力范围是？（单个作品，含手续费、税费、运费等）,单价200RMB以内,986,0.1754448398576512,5620,question-specific respondent_n,Single,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您对国外二次同人作品的购买力范围是？（单个作品，含手续费、税费、运费等）,单价150RMB以内,884,0.1572953736654804,5620,question-specific respondent_n,Single,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您对国外二次同人作品的购买力范围是？（单个作品，含手续费、税费、运费等）,单价50RMB以内,422,0.0750889679715302,5620,question-specific respondent_n,Single,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您对国外二次同人作品的购买力范围是？（单个作品，含手续费、税费、运费等）,单价500RMB以内,588,0.1046263345195729,5620,question-specific respondent_n,Single,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您对国外二次同人作品的购买力范围是？（单个作品，含手续费、税费、运费等）,单价100RMB以内,1202,0.2138790035587188,5620,question-specific respondent_n,Single,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您购买的国内二次同人作品类型为？（分类均包含数字版）,插画类,3724,0.3209514780660174,11603,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您购买的国内二次同人作品类型为？（分类均包含数字版）,服装饰品类,2101,0.1810738602085667,11603,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您购买的国内二次同人作品类型为？（分类均包含数字版）,音乐/音声类,5083,0.4380763595621822,11603,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您购买的国内二次同人作品类型为？（分类均包含数字版）,视频类,1520,0.131000603292252,11603,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您购买的国内二次同人作品类型为？（分类均包含数字版）,漫画类,4952,0.4267861759889684,11603,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您购买的国内二次同人作品类型为？（分类均包含数字版）,其它,652,0.0561923640437817,11603,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您购买的国内二次同人作品类型为？（分类均包含数字版）,游戏类,7275,0.6269930190467983,11603,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您购买的国内二次同人作品类型为？（分类均包含数字版）,文字类,2462,0.2121865034904766,11603,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您购买的国内二次同人作品类型为？（分类均包含数字版）,实体周边类,6290,0.5421011807291218,11603,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您通过哪些账号或平台了解东方信息？,Youtube,1440,0.2422203532380151,5945,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您通过哪些账号或平台了解东方信息？,微博,1141,0.1919259882253995,5945,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您通过哪些账号或平台了解东方信息？,NGA/S1等综合论坛,566,0.0952060555088309,5945,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您通过哪些账号或平台了解东方信息？,Niconico,947,0.1592935239697224,5945,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您通过哪些账号或平台了解东方信息？,囧仙B站号,3214,0.5406223717409588,5945,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您通过哪些账号或平台了解东方信息？,THBWiki微博/B站号,2888,0.4857863751051303,5945,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您通过哪些账号或平台了解东方信息？,推特,1903,0.3201009251471825,5945,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您通过哪些账号或平台了解东方信息？,殇韵月风微博/B站号,1606,0.2701429772918419,5945,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您通过哪些账号或平台了解东方信息？,囧仙粉丝群,606,0.1019343986543313,5945,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您通过哪些账号或平台了解东方信息？,幽紫kkB站号,2853,0.4798990748528175,5945,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您通过哪些账号或平台了解东方信息？,轩缘无痕B站号,1455,0.2447434819175778,5945,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您通过哪些账号或平台了解东方信息？,东方初心者讲座群,259,0.0435660218671152,5945,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您通过哪些账号或平台了解东方信息？,Pixiv,3511,0.5905803195962994,5945,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您通过哪些账号或平台了解东方信息？,Bilibili,5829,0.9804878048780488,5945,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您通过哪些账号或平台了解东方信息？,东方活动群（如THO群）或社团群/作者个人群,2550,0.4289318755256518,5945,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您通过哪些账号或平台了解东方信息？,其他,1585,0.2666105971404541,5945,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您通过哪些账号或平台了解东方信息？,东方吧,3994,0.671825063078217,5945,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您通过哪些账号或平台了解东方信息？,东游鉴B站号,1887,0.3174095878889823,5945,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您通过哪些账号或平台了解东方信息？,喵玉殿论坛,1659,0.2790580319596299,5945,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您通过哪些账号或平台了解东方信息？,魅知幻想之旅B站号,1489,0.2504625735912532,5945,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,平均来说，您浏览二次创作的大致频率为？,如果没有特别的原因不会浏览,154,0.0081232197489186,18958,question-specific respondent_n,Single,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,平均来说，您浏览二次创作的大致频率为？,只要有时间就总是在浏览,3790,0.1999156029116995,18958,question-specific respondent_n,Single,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,平均来说，您浏览二次创作的大致频率为？,几乎每天都会抽时间浏览,7005,0.3695010022154236,18958,question-specific respondent_n,Single,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,平均来说，您浏览二次创作的大致频率为？,每隔几天主动浏览几次,5509,0.2905897246544994,18958,question-specific respondent_n,Single,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,平均来说，您浏览二次创作的大致频率为？,仅在刷到的时候偶尔看看,2500,0.1318704504694588,18958,question-specific respondent_n,Single,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您购买过国内的二次同人作品吗？,购买过国内的二次同人作品,11604,0.6121544629668706,18956,question-specific respondent_n,Single,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您购买过国内的二次同人作品吗？,没有购买过,7352,0.3878455370331293,18956,question-specific respondent_n,Single,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您在进行（任何形式、任何程度的）二次创作吗？,是，且有持续性的投入,2047,0.1080439142826981,18946,question-specific respondent_n,Single,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您在进行（任何形式、任何程度的）二次创作吗？,是，偶尔进行,7008,0.3698933811886414,18946,question-specific respondent_n,Single,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您在进行（任何形式、任何程度的）二次创作吗？,否,9891,0.5220627045286604,18946,question-specific respondent_n,Single,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您购买的国外二次同人作品类型为？,视频类,600,0.1067235859124866,5622,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您购买的国外二次同人作品类型为？,音乐/音声类,2854,0.5076485236570616,5622,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您购买的国外二次同人作品类型为？,插画类,1611,0.2865528281750267,5622,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您购买的国外二次同人作品类型为？,漫画类,2487,0.4423692636072572,5622,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您购买的国外二次同人作品类型为？,文字类,655,0.1165065812877979,5622,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您购买的国外二次同人作品类型为？,其它,310,0.0551405193881181,5622,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您购买的国外二次同人作品类型为？,服装饰品类,396,0.0704375667022411,5622,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您购买的国外二次同人作品类型为？,实体周边类,2060,0.3664176449662042,5622,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您购买的国外二次同人作品类型为？,游戏类,2937,0.5224119530416222,5622,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您当前的受教育程度为？,初中,3192,0.1241878379955647,25703,question-specific respondent_n,Single,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您当前的受教育程度为？,其他,429,0.0166906586779753,25703,question-specific respondent_n,Single,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您当前的受教育程度为？,小学或学龄前,234,0.009103995642532,25703,question-specific respondent_n,Single,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您当前的受教育程度为？,本科/专科/高职,11492,0.4471073415554604,25703,question-specific respondent_n,Single,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您当前的受教育程度为？,高中/中专/职高/技校,9467,0.3683227638797027,25703,question-specific respondent_n,Single,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您当前的受教育程度为？,硕士/博士,889,0.0345874022487647,25703,question-specific respondent_n,Single,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您购买过实体正版原作吗？,购买过,4000,0.1883327840293799,21239,question-specific respondent_n,Single,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您购买过实体正版原作吗？,热衷于收集,1339,0.0630443994538349,21239,question-specific respondent_n,Single,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您购买过实体正版原作吗？,想买但是没有条件,12427,0.585102876783276,21239,question-specific respondent_n,Single,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您购买过实体正版原作吗？,没买过且没有购买的想法,3473,0.1635199397335091,21239,question-specific respondent_n,Single,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您购买过国外的二次同人作品吗？,购买过国外的二次同人作品,5623,0.2967595524593625,18948,question-specific respondent_n,Single,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您购买过国外的二次同人作品吗？,没有购买过,13325,0.7032404475406375,18948,question-specific respondent_n,Single,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您平时被动接触到的信息类型有哪些？,线下活动相关,2788,0.4691233383812889,5943,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您平时被动接触到的信息类型有哪些？,国内二次创作作品,4763,0.801447080599024,5943,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
CN,10,overall,您平时被动接触到的信息类型有哪些？,东方社群内的实时话题/梗/Meme等,4521,0.7607269056032306,5943,question-specific respondent_n,Multiple,国区第10回选填总体问卷；题目分母不同，不是角色支持率。
