video_id,url,published_date,title,author,content_type,mentioned_rounds_raw,mentioned_rounds_expanded,character_mentions_cn,poll_relevance,metric_1_current,metric_2_current,metric_3_current,metric_4_current,observed_at,source_scope,analysis_limit
sm9579934,https://www.nicovideo.jp/watch/sm9579934,2010/2/2,成人式で配られたＤＶＤが弾幕を撃ってきた件,Pesot.jp/,other_tagged,,,,unrelated_tag_card_or_context,31.6万,"8,196",85,"3,029",2026-08-23,Niconico公开标签页当前渲染卡片；不是全站穷尽，指标为观察日累计快照。,标题未点名角色时只作届次/平台证据；当前累计指标不能还原当年曝光，也不能换算投票或角色支持。
sm26183443,https://www.nicovideo.jp/watch/sm26183443,2015/5/5,ショートコント第XX話『3位の女』,仄グレー,meme_or_derivative,,,,unrelated_tag_card_or_context,"7,156",42,4,18,2026-08-23,Niconico公开标签页当前渲染卡片；不是全站穷尽，指标为观察日累计快照。,标题未点名角色时只作届次/平台证据；当前累计指标不能还原当年曝光，也不能换算投票或角色支持。
sm26388801,https://www.nicovideo.jp/watch/sm26388801,2015/6/1,【東方】第11回東方Project人気投票 キャラ部門 TOP100,,result_summary,11,11,,round_specific,12.7万,2.1万,12,"1,292",2026-08-23,Niconico公开标签页当前渲染卡片；不是全站穷尽，指标为观察日累计快照。,标题未点名角色时只作届次/平台证据；当前累计指标不能还原当年曝光，也不能换算投票或角色支持。
sm26395783,https://www.nicovideo.jp/watch/sm26395783,2015/6/2,【第11回東方Project人気投票】各キャラのグラフとランキング,KSG,longitudinal_or_analysis,11,11,,round_specific,3.8万,"3,800",2,183,2026-08-23,Niconico公开标签页当前渲染卡片；不是全站穷尽，指标为观察日累计快照。,标题未点名角色时只作届次/平台证据；当前累计指标不能还原当年曝光，也不能换算投票或角色支持。
sm22666583,https://www.nicovideo.jp/watch/sm22666583,2014/1/13,【東方】中国版東方Wikiの人気投票から見た各キャラの男女別人気,無投票落選,other_tagged,,,红美铃,poll_related_title,"3,193",88,0,10,2026-08-23,Niconico公开标签页当前渲染卡片；不是全站穷尽，指标为观察日累计快照。,标题未点名角色时只作届次/平台证据；当前累计指标不能还原当年曝光，也不能换算投票或角色支持。
sm17225262,https://www.nicovideo.jp/watch/sm17225262,2012/3/12,【東方人気投票】星組会議【MMDドラマ】,フィルロッソ,meme_or_derivative,,,,poll_related_title,7.7万,"2,152",7,741,2026-08-23,Niconico公开标签页当前渲染卡片；不是全站穷尽，指标为观察日累计快照。,标题未点名角色时只作届次/平台证据；当前累计指标不能还原当年曝光，也不能换算投票或角色支持。
sm26404723,https://www.nicovideo.jp/watch/sm26404723,2015/6/3,【第11回東方Project人気投票】順位アップ曲 全曲紹介【音楽部門】,RC,music_result,11,11,,round_specific,1.9万,"1,493",6,173,2026-08-23,Niconico公开标签页当前渲染卡片；不是全站穷尽，指标为观察日累计快照。,标题未点名角色时只作届次/平台证据；当前累计指标不能还原当年曝光，也不能换算投票或角色支持。
sm27579404,https://www.nicovideo.jp/watch/sm27579404,2015/11/13,【日中比較】东方Project人气投票 第四回 ランキング,KSG,longitudinal_or_analysis,,4,,round_specific,2.1万,"1,891",3,86,2026-08-23,Niconico公开标签页当前渲染卡片；不是全站穷尽，指标为观察日累计快照。,标题未点名角色时只作届次/平台证据；当前累计指标不能还原当年曝光，也不能换算投票或角色支持。
sm23007355,https://www.nicovideo.jp/watch/sm23007355,2014/3/2,【第1回～第10回】グラフで振り返る東方シリーズ人気投票キャラ部門 (1),無投票落選,longitudinal_or_analysis,1;10,1;2;3;4;5;6;7;8;9;10,,round_specific,"3,357",98,0,19,2026-08-23,Niconico公开标签页当前渲染卡片；不是全站穷尽，指标为观察日累计快照。,标题未点名角色时只作届次/平台证据；当前累计指标不能还原当年曝光，也不能换算投票或角色支持。
sm23014649,https://www.nicovideo.jp/watch/sm23014649,2014/3/3,【第1回～第10回】グラフで振り返る東方シリーズ人気投票キャラ部門 (2),無投票落選,longitudinal_or_analysis,1;10,1;2;3;4;5;6;7;8;9;10,,round_specific,"1,930",55,0,5,2026-08-23,Niconico公开标签页当前渲染卡片；不是全站穷尽，指标为观察日累计快照。,标题未点名角色时只作届次/平台证据；当前累计指标不能还原当年曝光，也不能换算投票或角色支持。
sm26435833,https://www.nicovideo.jp/watch/sm26435833,2015/6/7,第11回東方Project人気投票分析,総督D,longitudinal_or_analysis,11,11,,round_specific,1.5万,"1,380",1,100,2026-08-23,Niconico公开标签页当前渲染卡片；不是全站穷尽，指标为观察日累计快照。,标题未点名角色时只作届次/平台证据；当前累计指标不能还原当年曝光，也不能换算投票或角色支持。
sm23034377,https://www.nicovideo.jp/watch/sm23034377,2014/3/6,【第1回～第10回】グラフで振り返る東方シリーズ人気投票キャラ部門 (4),無投票落選,longitudinal_or_analysis,1;10,1;2;3;4;5;6;7;8;9;10,,round_specific,"1,650",38,1,3,2026-08-23,Niconico公开标签页当前渲染卡片；不是全站穷尽，指标为观察日累计快照。,标题未点名角色时只作届次/平台证据；当前累计指标不能还原当年曝光，也不能换算投票或角色支持。
sm26489809,https://www.nicovideo.jp/watch/sm26489809,2015/6/14,第11回東方Project人気投票 長文コメント集（1/3）音楽部門,さいはて,music_result,11,11,,round_specific,"1,132",23,1,5,2026-08-23,Niconico公开标签页当前渲染卡片；不是全站穷尽，指标为观察日累计快照。,标题未点名角色时只作届次/平台证据；当前累计指标不能还原当年曝光，也不能换算投票或角色支持。
sm26490004,https://www.nicovideo.jp/watch/sm26490004,2015/6/14,【東方】第11回東方Project人気投票キャラアンケ＆相関まとめ,,other_tagged,11,11,,round_specific,"3,562",208,0,16,2026-08-23,Niconico公开标签页当前渲染卡片；不是全站穷尽，指标为观察日累计快照。,标题未点名角色时只作届次/平台证据；当前累计指标不能还原当年曝光，也不能换算投票或角色支持。
sm26437174,https://www.nicovideo.jp/watch/sm26437174,2015/6/7,【目で見る】第11回東方Project人気投票【順位/得票俯瞰】,さいはて,other_tagged,11,11,,round_specific,"4,041",171,1,23,2026-08-23,Niconico公开标签页当前渲染卡片；不是全站穷尽，指标为观察日累计快照。,标题未点名角色时只作届次/平台证据；当前累计指标不能还原当年曝光，也不能换算投票或角色支持。
sm23026257,https://www.nicovideo.jp/watch/sm23026257,2014/3/5,【第1回～第10回】グラフで振り返る東方シリーズ人気投票キャラ部門 (3),無投票落選,longitudinal_or_analysis,1;10,1;2;3;4;5;6;7;8;9;10,,round_specific,"1,702",53,0,7,2026-08-23,Niconico公开标签页当前渲染卡片；不是全站穷尽，指标为观察日累计快照。,标题未点名角色时只作届次/平台证据；当前累计指标不能还原当年曝光，也不能换算投票或角色支持。
