platform,community,poll_alignment,video_id,url,published_date,duration,title,author,metric_1_current,metric_2_current,metric_3_current,metric_4_current,metric_5_current,observed_at,content_type,mentioned_rounds,source_page,coverage_note
Niconico,JP,JP_poll,sm45354054,https://www.nicovideo.jp/watch/sm45354054,2025/8/30,20:50,第21回東方Project人気投票 人妖部門（速報版）,まーき,"2,625",555,52,10,0,2026-08-23,result_summary,21,https://www.nicovideo.jp/tag/%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8?page=1,"Exact Niconico tag page; header reported 204 videos, 197 cards were publicly rendered across pages 1-7 at observation time."
Niconico,JP,JP_poll,sm45625489,https://www.nicovideo.jp/watch/sm45625489,2025/11/15,48:59,【東方MMD】もこたんと第20回東方人気投票_後編（完結編）,アルルナ,2.7万,435,108,16,0,2026-08-23,meme_or_derivative,20,https://www.nicovideo.jp/tag/%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8?page=1,"Exact Niconico tag page; header reported 204 videos, 197 cards were publicly rendered across pages 1-7 at observation time."
Niconico,JP,JP_poll,sm34582340,https://www.nicovideo.jp/watch/sm34582340,2019/2/5,29:54,第15回 東方Project 人気投票 音楽部門 TOP100,yuke,5.1万,"5,145",56,515,0,2026-08-23,music_result,15,https://www.nicovideo.jp/tag/%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8?page=1,"Exact Niconico tag page; header reported 204 videos, 197 cards were publicly rendered across pages 1-7 at observation time."
Niconico,JP,JP_poll,sm30520641,https://www.nicovideo.jp/watch/sm30520641,2017/1/28,8:19,第13回 東方Project 人気投票 音楽部門 TOP50外おすすめ,yuke,3.7万,"1,792",45,186,0,2026-08-23,music_result,13,https://www.nicovideo.jp/tag/%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8?page=1,"Exact Niconico tag page; header reported 204 videos, 197 cards were publicly rendered across pages 1-7 at observation time."
Niconico,JP,JP_poll,sm9579934,https://www.nicovideo.jp/watch/sm9579934,2010/2/2,1:39,成人式で配られたＤＶＤが弾幕を撃ってきた件,Pesot.jp/,31.6万,"8,196",85,"3,029",0,2026-08-23,other_tagged,,https://www.nicovideo.jp/tag/%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8?page=1,"Exact Niconico tag page; header reported 204 videos, 197 cards were publicly rendered across pages 1-7 at observation time."
Niconico,JP,JP_poll,sm45723779,https://www.nicovideo.jp/watch/sm45723779,2025/12/13,,【東方MMD】もこたんと第20回東方人気投票_フルver,アルルナ,1.1万,358,55,8,"1,000",2026-08-23,meme_or_derivative,20,https://www.nicovideo.jp/tag/%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8?page=1,"Exact Niconico tag page; header reported 204 videos, 197 cards were publicly rendered across pages 1-7 at observation time."
Niconico,JP,JP_poll,sm32746740,https://www.nicovideo.jp/watch/sm32746740,2018/2/16,10:12,【東方MMD】2018版 東方キャラ141人を人気順に並べてみた第14回人気投票結果,すし太郎,5.2万,"2,201",17,604,0,2026-08-23,result_summary,14,https://www.nicovideo.jp/tag/%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8?page=1,"Exact Niconico tag page; header reported 204 videos, 197 cards were publicly rendered across pages 1-7 at observation time."
Niconico,JP,JP_poll,sm41217045,https://www.nicovideo.jp/watch/sm41217045,2022/10/11,10:20,【東方MMD】2022版 東方キャラ137人を人気順に並べてみた第18回人気投票結果,すし太郎,1.6万,756,321,107,0,2026-08-23,result_summary,18,https://www.nicovideo.jp/tag/%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8?page=1,"Exact Niconico tag page; header reported 204 videos, 197 cards were publicly rendered across pages 1-7 at observation time."
Niconico,JP,JP_poll,sm42829518,https://www.nicovideo.jp/watch/sm42829518,2023/9/30,21:34,第19回東方Project人気投票 人妖部門（速報版）,まーき,"4,730","1,201",75,15,0,2026-08-23,result_summary,19,https://www.nicovideo.jp/tag/%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8?page=1,"Exact Niconico tag page; header reported 204 videos, 197 cards were publicly rendered across pages 1-7 at observation time."
Niconico,JP,JP_poll,sm32651985,https://www.nicovideo.jp/watch/sm32651985,2018/1/28,17:30,第14回 東方Project 人気投票 音楽部門 TOP50,yuke,5.2万,"3,690",30,403,0,2026-08-23,music_result,14,https://www.nicovideo.jp/tag/%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8?page=1,"Exact Niconico tag page; header reported 204 videos, 197 cards were publicly rendered across pages 1-7 at observation time."
Niconico,JP,JP_poll,sm30496418,https://www.nicovideo.jp/watch/sm30496418,2017/1/24,13:20,第13回 東方Project 人気投票 音楽部門 TOP50,yuke,5.9万,"3,927",17,547,0,2026-08-23,music_result,13,https://www.nicovideo.jp/tag/%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8?page=1,"Exact Niconico tag page; header reported 204 videos, 197 cards were publicly rendered across pages 1-7 at observation time."
Niconico,JP,JP_poll,sm44108322,https://www.nicovideo.jp/watch/sm44108322,2024/9/16,28:39,【第16回東方ニコ童祭】東方Project人気投票の詳細結果を分析しよう！（第20回・人妖部門編）,くまちゃ,700,43,9,7,0,2026-08-23,longitudinal_or_analysis,16|20,https://www.nicovideo.jp/tag/%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8?page=1,"Exact Niconico tag page; header reported 204 videos, 197 cards were publicly rendered across pages 1-7 at observation time."
Niconico,JP,JP_poll,sm27976492,https://www.nicovideo.jp/watch/sm27976492,2016/1/10,9:20,【東方MMD】狐と狸の利害なき投票考察【第12回人気投票】,doku,7.9万,993,41,360,"3,800",2026-08-23,longitudinal_or_analysis,12,https://www.nicovideo.jp/tag/%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8?page=1,"Exact Niconico tag page; header reported 204 videos, 197 cards were publicly rendered across pages 1-7 at observation time."
Niconico,JP,JP_poll,sm26183443,https://www.nicovideo.jp/watch/sm26183443,2015/5/5,1:24,ショートコント第XX話『3位の女』,仄グレー,"7,156",42,4,18,0,2026-08-23,meme_or_derivative,,https://www.nicovideo.jp/tag/%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8?page=1,"Exact Niconico tag page; header reported 204 videos, 197 cards were publicly rendered across pages 1-7 at observation time."
Niconico,JP,JP_poll,sm41128599,https://www.nicovideo.jp/watch/sm41128599,2022/9/24,26:10,第18回東方Project人気投票 人妖部門（速報版）,まーき,"6,494","1,404",87,21,0,2026-08-23,result_summary,18,https://www.nicovideo.jp/tag/%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8?page=1,"Exact Niconico tag page; header reported 204 videos, 197 cards were publicly rendered across pages 1-7 at observation time."
Niconico,JP,JP_poll,sm44016733,https://www.nicovideo.jp/watch/sm44016733,2024/8/24,21:16,第20回東方Project人気投票 人妖部門（速報版）,まーき,"3,408",663,63,9,0,2026-08-23,result_summary,20,https://www.nicovideo.jp/tag/%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8?page=1,"Exact Niconico tag page; header reported 204 videos, 197 cards were publicly rendered across pages 1-7 at observation time."
Niconico,JP,JP_poll,sm45208895,https://www.nicovideo.jp/watch/sm45208895,2025/7/21,23:32,【第17回東方ニコ童祭】第20回東方Project人気投票Ex 弾幕部門TOP30,まーき,517,57,19,8,0,2026-08-23,result_summary,17|20,https://www.nicovideo.jp/tag/%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8?page=1,"Exact Niconico tag page; header reported 204 videos, 197 cards were publicly rendered across pages 1-7 at observation time."
Niconico,JP,JP_poll,sm45334718,https://www.nicovideo.jp/watch/sm45334718,2025/8/25,23:22,【第2回～第20回東方Project人気投票】歴代順位急上昇曲ランキングメドレー Top50,ひみのゆり,229,2,7,1,0,2026-08-23,music_result,2|20,https://www.nicovideo.jp/tag/%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8?page=1,"Exact Niconico tag page; header reported 204 videos, 197 cards were publicly rendered across pages 1-7 at observation time."
Niconico,JP,JP_poll,sm37440994,https://www.nicovideo.jp/watch/sm37440994,2020/8/30,3:07,【東方MMD紙芝居】半人半霊と亡霊,左上哀歌,"3,548",119,44,20,0,2026-08-23,meme_or_derivative,,https://www.nicovideo.jp/tag/%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8?page=1,"Exact Niconico tag page; header reported 204 videos, 197 cards were publicly rendered across pages 1-7 at observation time."
Niconico,JP,JP_poll,sm40867262,https://www.nicovideo.jp/watch/sm40867262,2022/8/3,11:16,第17回 東方Project人気投票 人妖部門 女性票ランキング,さんけん,872,37,15,4,0,2026-08-23,result_summary,17,https://www.nicovideo.jp/tag/%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8?page=1,"Exact Niconico tag page; header reported 204 videos, 197 cards were publicly rendered across pages 1-7 at observation time."
Niconico,JP,JP_poll,sm41162872,https://www.nicovideo.jp/watch/sm41162872,2022/10/2,3:09,【東方MMD】霊夢と魔理沙、二人の絆,もみじ秋,"5,001",160,149,26,0,2026-08-23,meme_or_derivative,,https://www.nicovideo.jp/tag/%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8?page=1,"Exact Niconico tag page; header reported 204 videos, 197 cards were publicly rendered across pages 1-7 at observation time."
Niconico,JP,JP_poll,sm37052582,https://www.nicovideo.jp/watch/sm37052582,2020/6/18,40:28,【第16回東方Project人気投票】各キャラのポイント・得票率グラフおよびランキング,KSG,"8,257","1,029",5,62,0,2026-08-23,longitudinal_or_analysis,16,https://www.nicovideo.jp/tag/%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8?page=1,"Exact Niconico tag page; header reported 204 videos, 197 cards were publicly rendered across pages 1-7 at observation time."
Niconico,JP,JP_poll,sm34574727,https://www.nicovideo.jp/watch/sm34574727,2019/2/3,5:39,第1回～第15回 東方Project人気投票 人妖部門 順位推移グラフ,さんけん,"6,697",307,3,28,0,2026-08-23,longitudinal_or_analysis,1|15,https://www.nicovideo.jp/tag/%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8?page=1,"Exact Niconico tag page; header reported 204 videos, 197 cards were publicly rendered across pages 1-7 at observation time."
Niconico,JP,JP_poll,sm41135238,https://www.nicovideo.jp/watch/sm41135238,2022/9/26,6:09,【東方MMD】人気投票にサニーが物申すようです・・・,JIN,"3,054",178,82,20,0,2026-08-23,meme_or_derivative,,https://www.nicovideo.jp/tag/%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8?page=1,"Exact Niconico tag page; header reported 204 videos, 197 cards were publicly rendered across pages 1-7 at observation time."
Niconico,JP,JP_poll,sm34604445,https://www.nicovideo.jp/watch/sm34604445,2019/2/9,10:13,【東方MMD】2019版 東方キャラ140?人を人気順に並べてみた第15回人気投票結果,すし太郎,4.9万,"2,668",25,572,0,2026-08-23,result_summary,15,https://www.nicovideo.jp/tag/%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8?page=1,"Exact Niconico tag page; header reported 204 videos, 197 cards were publicly rendered across pages 1-7 at observation time."
Niconico,JP,JP_poll,sm28111558,https://www.nicovideo.jp/watch/sm28111558,2016/1/30,5:00,【東方MMD】2016版 東方キャラ136人を人気順に並べてみた第12回人気投票結果,すし太郎,5.5万,"3,562",10,644,,2026-08-23,result_summary,12,https://www.nicovideo.jp/tag/%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8?page=1,"Exact Niconico tag page; header reported 204 videos, 197 cards were publicly rendered across pages 1-7 at observation time."
Niconico,JP,JP_poll,sm44007846,https://www.nicovideo.jp/watch/sm44007846,2024/8/22,13:37,【第19回東方Project人気投票】各キャラのポイント・得票率・偏差値のグラフとランキング,KSG,485,23,16,5,,2026-08-23,longitudinal_or_analysis,19,https://www.nicovideo.jp/tag/%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8?page=1,"Exact Niconico tag page; header reported 204 videos, 197 cards were publicly rendered across pages 1-7 at observation time."
Niconico,JP,JP_poll,sm30311879,https://www.nicovideo.jp/watch/sm30311879,2016/12/27,13:40,【日中比較】东方Project人气投票 第五回 ランキング,KSG,"7,544",493,1,30,,2026-08-23,longitudinal_or_analysis,,https://www.nicovideo.jp/tag/%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8?page=1,"Exact Niconico tag page; header reported 204 videos, 197 cards were publicly rendered across pages 1-7 at observation time."
Niconico,JP,JP_poll,sm44133399,https://www.nicovideo.jp/watch/sm44133399,2024/9/22,38:23,【第20回東方Project人気投票】各キャラのポイント・得票率・偏差値のグラフとランキング,KSG,843,70,15,9,,2026-08-23,longitudinal_or_analysis,20,https://www.nicovideo.jp/tag/%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8?page=1,"Exact Niconico tag page; header reported 204 videos, 197 cards were publicly rendered across pages 1-7 at observation time."
Niconico,JP,JP_poll,sm29736671,https://www.nicovideo.jp/watch/sm29736671,2016/9/28,5:57,ゆっくりが中国版東方人気投票の超翻訳を紹介,もち･｡・,"2,377",75,0,15,,2026-08-23,other_tagged,,https://www.nicovideo.jp/tag/%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8?page=1,"Exact Niconico tag page; header reported 204 videos, 197 cards were publicly rendered across pages 1-7 at observation time."
Niconico,JP,JP_poll,sm44288592,https://www.nicovideo.jp/watch/sm44288592,2024/11/4,13:33,第20回東方project人気投票メドレー　*200~101位+α*,ひみのゆり,570,5,17,5,,2026-08-23,music_result,20,https://www.nicovideo.jp/tag/%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8?page=1,"Exact Niconico tag page; header reported 204 videos, 197 cards were publicly rendered across pages 1-7 at observation time."
Niconico,JP,JP_poll,sm42830450,https://www.nicovideo.jp/watch/sm42830450,2023/10/1,6:39,第1回～第19回 東方Project人気投票 人妖部門 順位推移グラフ,さんけん,"1,076",43,15,3,,2026-08-23,longitudinal_or_analysis,1|19,https://www.nicovideo.jp/tag/%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8?page=1,"Exact Niconico tag page; header reported 204 videos, 197 cards were publicly rendered across pages 1-7 at observation time."
Niconico,JP,JP_poll,sm28157836,https://www.nicovideo.jp/watch/sm28157836,2016/2/6,15:22,第十二回東方人気投票についての分析と考察,ぶくれしゅち/あざばて。,"3,465",220,0,20,0,2026-08-23,longitudinal_or_analysis,,https://www.nicovideo.jp/tag/%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8?page=2,"Exact Niconico tag page; header reported 204 videos, 197 cards were publicly rendered across pages 1-7 at observation time."
Niconico,JP,JP_poll,sm37028137,https://www.nicovideo.jp/watch/sm37028137,2020/6/14,24:40,第16回東方Project人気投票 人妖部門（速報版）,まーき,2.3万,"3,155",14,128,0,2026-08-23,result_summary,16,https://www.nicovideo.jp/tag/%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8?page=2,"Exact Niconico tag page; header reported 204 videos, 197 cards were publicly rendered across pages 1-7 at observation time."
Niconico,JP,JP_poll,sm30572487,https://www.nicovideo.jp/watch/sm30572487,2017/2/5,6:35,【目で見る】第13回東方Project人気投票【順位/得票俯瞰】,さいはて,"4,647",228,0,30,0,2026-08-23,other_tagged,13,https://www.nicovideo.jp/tag/%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8?page=2,"Exact Niconico tag page; header reported 204 videos, 197 cards were publicly rendered across pages 1-7 at observation time."
Niconico,JP,JP_poll,sm37028831,https://www.nicovideo.jp/watch/sm37028831,2020/6/14,6:21,日中比較 第16回 東方Project人気投票 人妖部門順位推移グラフ,さんけん,"3,116",149,3,8,0,2026-08-23,longitudinal_or_analysis,16,https://www.nicovideo.jp/tag/%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8?page=2,"Exact Niconico tag page; header reported 204 videos, 197 cards were publicly rendered across pages 1-7 at observation time."
Niconico,JP,JP_poll,sm43863692,https://www.nicovideo.jp/watch/sm43863692,2024/6/2,0:33,【東方MMD】もしも人気投票でレミリアが一位だったら 【再現MMD】,らいふ,399,9,16,5,0,2026-08-23,meme_or_derivative,,https://www.nicovideo.jp/tag/%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8?page=2,"Exact Niconico tag page; header reported 204 videos, 197 cards were publicly rendered across pages 1-7 at observation time."
Niconico,JP,JP_poll,sm44010983,https://www.nicovideo.jp/watch/sm44010983,2024/8/23,2:58,東方人気投票ｷﾀ━(ﾟ∀ﾟ)━ !!【ゆっくり茶番】,お～るからいか！,90,1,0,0,0,2026-08-23,other_tagged,,https://www.nicovideo.jp/tag/%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8?page=2,"Exact Niconico tag page; header reported 204 videos, 197 cards were publicly rendered across pages 1-7 at observation time."
Niconico,JP,JP_poll,sm44020349,https://www.nicovideo.jp/watch/sm44020349,2024/8/25,6:48,【完全版】第1～20回東方Project人気投票（2003 - 2024）,OnlyFanza,516,2,3,2,0,2026-08-23,other_tagged,,https://www.nicovideo.jp/tag/%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8?page=2,"Exact Niconico tag page; header reported 204 videos, 197 cards were publicly rendered across pages 1-7 at observation time."
Niconico,JP,JP_poll,sm43998117,https://www.nicovideo.jp/watch/sm43998117,2024/8/20,11:54,第19回東方project人気投票メドレー　*200~101位+α*,ひみのゆり,592,7,16,4,0,2026-08-23,music_result,19,https://www.nicovideo.jp/tag/%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8?page=2,"Exact Niconico tag page; header reported 204 videos, 197 cards were publicly rendered across pages 1-7 at observation time."
Niconico,JP,JP_poll,sm28065986,https://www.nicovideo.jp/watch/sm28065986,2016/1/23,28:52,投票キャラの相関で見る第12回東方Project人気投票,Ｒ－Ｇ,"8,583","1,007",2,49,0,2026-08-23,other_tagged,12,https://www.nicovideo.jp/tag/%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8?page=2,"Exact Niconico tag page; header reported 204 videos, 197 cards were publicly rendered across pages 1-7 at observation time."
Niconico,JP,JP_poll,sm44017779,https://www.nicovideo.jp/watch/sm44017779,2024/8/24,1:00,【東方MMD】東方Project2024人気投票　結果,らいふ,688,30,14,2,0,2026-08-23,result_summary,,https://www.nicovideo.jp/tag/%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8?page=2,"Exact Niconico tag page; header reported 204 videos, 197 cards were publicly rendered across pages 1-7 at observation time."
Niconico,JP,JP_poll,sm41990178,https://www.nicovideo.jp/watch/sm41990178,2023/3/26,14:25,第18回東方Project人気投票Ex ベストライバル部門（速報版）,まーき,888,135,16,4,0,2026-08-23,result_summary,18,https://www.nicovideo.jp/tag/%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8?page=2,"Exact Niconico tag page; header reported 204 videos, 197 cards were publicly rendered across pages 1-7 at observation time."
