observed_at,platform,tag,character_cn,character_jp,work_count_snapshot,source_url,metric_kind,interpretation_limit,access_status
2026-08-23,Pixiv,稗田阿求,稗田阿求,稗田 阿求,9976,https://www.pixiv.net/tags/%E7%A8%97%E7%94%B0%E9%98%BF%E6%B1%82/artworks,current_cumulative_tag_count,当前标签作品量快照；不是历年作品量也不能直接解释投票名次,logged_in_verified
2026-08-23,Pixiv,鬼人正邪,鬼人正邪,鬼人 正邪,14580,https://www.pixiv.net/tags/%E9%AC%BC%E4%BA%BA%E6%AD%A3%E9%82%AA/artworks,current_cumulative_tag_count,当前标签作品量快照；不同角色标签习惯不同不可直接横比支持率,logged_in_verified
2026-08-23,Pixiv,ドレミー・スイート,哆来咪·苏伊特,ドレミー・スイート,9171,https://www.pixiv.net/tags/%E3%83%89%E3%83%AC%E3%83%9F%E3%83%BC%E3%83%BB%E3%82%B9%E3%82%A4%E3%83%BC%E3%83%88/artworks,current_cumulative_tag_count,当前标签作品量快照；不能还原第14回前后的增量,logged_in_verified
2026-08-23,Pixiv,饕餮尤魔,饕餮尤魔,饕餮尤魔,5225,https://www.pixiv.net/tags/%E9%A5%95%E9%A4%AE%E5%B0%A4%E9%AD%94/artworks,current_cumulative_tag_count,当前标签作品量快照；不能与B站播放量相加,logged_in_verified
2026-08-23,Pixiv,綿月豊姫,绵月丰姬,綿月 豊姫,3412,https://www.pixiv.net/tags/%E7%B6%BF%E6%9C%88%E8%B1%8A%E5%A7%AB/artworks,current_cumulative_tag_count,当前标签作品量快照；丰姬第21回上涨原因仍未识别,logged_in_verified
2026-08-23,Pixiv,宮出口瑞霊,宫出口瑞灵,宮出口瑞霊,1547,https://www.pixiv.net/tags/%E5%AE%AE%E5%87%BA%E5%8F%A3%E7%91%9E%E9%9C%8A/artworks,current_cumulative_tag_count,当前标签作品量快照；可作为创作生态存在性而非票数代理,logged_in_verified
2026-08-23,Pixiv,神綺,神绮,神綺,5894,https://www.pixiv.net/tags/%E7%A5%9E%E7%B6%BA/artworks,current_cumulative_tag_count,当前标签作品量快照；旧作角色标签可能含异体字和别名,logged_in_verified
2026-08-23,Pixiv,リグル・ナイトバグ,莉格露·奈特巴格,リグル・ナイトバグ,16993,https://www.pixiv.net/tags/%E3%83%AA%E3%82%B0%E3%83%AB%E3%83%BB%E3%83%8A%E3%82%A4%E3%83%88%E3%83%90%E3%82%B0/artworks,current_cumulative_tag_count,当前标签作品量快照；不可直接解释规则反事实,logged_in_verified
2026-08-23,Pixiv,八意永琳,八意永琳,八意 永琳,17121,https://www.pixiv.net/tags/%E5%85%AB%E6%84%8F%E6%B0%B8%E7%90%B3/artworks,current_cumulative_tag_count,当前标签作品量快照；长期二创规模与某届名次变动需分开,logged_in_verified
2026-08-23,Pixiv,易者,易者,易者,193,https://www.pixiv.net/tags/%E6%98%93%E8%80%85/artworks,current_cumulative_tag_count,当前标签小但2015起已有可见作品；不应把小标签量等同无人气,logged_in_verified
