round,relative_phase,platform,source_url,published_at,observed_at,metric,metric_value,metric_unit,metric_kind,topic_or_work,notes
20,pre_vote,Bilibili,https://www.bilibili.com/video/BV1sSareYEQj/,2024-08-06T23:39:05+08:00,2026-08-23T17:00:00+08:00,views,241716,views,current_cumulative,"稗田阿求寿命梗",发布于投票开始（2024-08-10）前；标题把阿求“死亡/祭日”梗固定下来。
20,results_day,Bilibili,https://www.bilibili.com/video/BV1JZ421L7gx/,2024-08-24T19:29:18+08:00,2026-08-23T17:00:00+08:00,views,114086,views,current_cumulative,"第20回结果搬运",结果公布后中文传播入口；不是官方原始统计。
20,results_day,Bilibili,https://www.bilibili.com/video/BV1EpWZe2EvU/,2024-08-24T18:44:48+08:00,2026-08-23T17:00:00+08:00,views,15035,views,current_cumulative,"阿求上升47名梗",赛后把名次变化包装成寿命/死亡梗；当前累计量不能还原发布日热度。
20,results_day,X_archive,https://archive.twitter-trending.com/japan/24-08-2024,2024-08-24T10:30:00Z,2026-08-23T17:00:00+08:00,rank,8,Top10_rank,"霊夢1位",历史归档半小时截面；页面按UTC展示，约为JST 19:30，1.821千推文。
20,results_day,X_archive,https://archive.twitter-trending.com/japan/24-08-2024,2024-08-24T10:30:00Z,2026-08-23T17:00:00+08:00,tweets,1821,tweets_estimate,"霊夢1位",归档页面显示1.821 tweet；是趋势估算/快照，不是全话题总量。
20,weekly_window,Google_Trends,https://trends.google.com/trends/explore?date=2024-08-01%202025-09-15&geo=JP&q=%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8,%E5%8F%A4%E6%98%8E%E5%9C%B0%E3%81%93%E3%81%84%E3%81%97,2024-08-18,2026-08-23T17:00:00+08:00,search_index,16,index_0_100,"東方Project人気投票",JP Google网页搜索周值；相对指数，不是搜索次数。
20,weekly_window,Google_Trends,https://trends.google.com/trends/explore?date=2024-08-01%202025-09-15&geo=JP&q=%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8,%E5%8F%A4%E6%98%8E%E5%9C%B0%E3%81%93%E3%81%84%E3%81%97,2024-08-25,2026-08-23T17:00:00+08:00,search_index,17,index_0_100,"東方Project人気投票",结果周值略高于投票周；事件后搜索仍有余波。
20,weekly_window,Google_Trends,https://trends.google.com/trends/explore?date=2024-08-01%202025-09-15&geo=JP&q=%E6%9D%B1%E6%96%B9Project%E4%BA%BA%E6%B0%97%E6%8A%95%E7%A5%A8,%E5%8F%A4%E6%98%8E%E5%9C%B0%E3%81%93%E3%81%84%E3%81%97,2024-08-18,2026-08-23T17:00:00+08:00,search_index,70,index_0_100,"古明地こいし",同一比较窗口内的角色词周值；不等于投票支持率。
21,results_day,Bilibili,https://www.bilibili.com/video/BV1XihezyEVF/,2025-08-30T16:30:03+08:00,2026-08-23T17:00:00+08:00,views,12272,views,current_cumulative,"F1meme：恋恋回到第一",结果日16:30发布，明确写“恋恋重新夺得世界第一”；二创/娱乐声明。
21,results_day,Bilibili,https://www.bilibili.com/video/BV14UheziEcF/,2025-08-30T17:01:33+08:00,2026-08-23T17:00:00+08:00,views,140545,views,current_cumulative,"得知投票结果的东方厨be like",结果日17:01发布；模板化反应视频，当前累计量很高但非发布日快照。
