alias_cn,canonical_cn,alias_type,source_character_cn_thb,source_character_jp,source_url,mapping_status,confidence,use_scope
123,哆来咪·苏伊特,thbwiki_community_nickname_candidate,哆来咪·苏伊特,ドレミー・スイート,https://thbwiki.cc/哆来咪·苏伊特,search_only_not_poll_normalized,low,search_vocabulary_only
16,十六夜咲夜,thbwiki_community_nickname_candidate,十六夜咲夜,十六夜 咲夜,https://thbwiki.cc/十六夜咲夜,search_only_not_poll_normalized,low,search_vocabulary_only
19,永江衣玖,thbwiki_community_nickname_candidate,永江衣玖,永江 衣玖,https://thbwiki.cc/永江衣玖,search_only_not_poll_normalized,low,search_vocabulary_only
BBA,八云紫,thbwiki_community_nickname_candidate,八云紫,八雲 紫,https://thbwiki.cc/八云紫,search_only_not_poll_normalized,low,search_vocabulary_only
M子,比那名居天子,thbwiki_community_nickname_candidate,比那名居天子,比那名居 天子,https://thbwiki.cc/比那名居天子,search_only_not_poll_normalized,low,search_vocabulary_only
NEET,蓬莱山辉夜,thbwiki_community_nickname_candidate,蓬莱山辉夜,蓬莱山 輝夜,https://thbwiki.cc/蓬莱山辉夜,search_only_not_poll_normalized,low,search_vocabulary_only
PAD长,十六夜咲夜,thbwiki_community_nickname_candidate,十六夜咲夜,十六夜 咲夜,https://thbwiki.cc/十六夜咲夜,search_only_not_poll_normalized,low,search_vocabulary_only
Reisen,铃仙二号,thbwiki_cn_reference_name,Reisen,レイセン,https://thbwiki.cc/Reisen,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
UUZ,西行寺幽幽子,thbwiki_community_nickname_candidate,西行寺幽幽子,西行寺 幽々子,https://thbwiki.cc/西行寺幽幽子,search_only_not_poll_normalized,low,search_vocabulary_only
Yo梦,魂魄妖梦,thbwiki_community_nickname_candidate,魂魄妖梦,魂魄 妖夢,https://thbwiki.cc/魂魄妖梦,search_only_not_poll_normalized,low,search_vocabulary_only
orange,奥莲姬,thbwiki_community_nickname_candidate,奥莲姬,オレンジ,https://thbwiki.cc/奥莲姬,search_only_not_poll_normalized,low,search_vocabulary_only
⑤,古明地觉,thbwiki_community_nickname_candidate,古明地觉,古明地 さとり,https://thbwiki.cc/古明地觉,search_only_not_poll_normalized,low,search_vocabulary_only
⑥,灵乌路空,thbwiki_community_nickname_candidate,灵乌路空,霊烏路 空,https://thbwiki.cc/灵乌路空,search_only_not_poll_normalized,low,search_vocabulary_only
⑦,赤蛮奇,thbwiki_community_nickname_candidate,赤蛮奇,赤蛮奇,https://thbwiki.cc/赤蛮奇,search_only_not_poll_normalized,low,search_vocabulary_only
⑧,爱塔妮缇拉尔瓦,thbwiki_community_nickname_candidate,爱塔妮缇拉尔瓦,エタニティラルバ,https://thbwiki.cc/爱塔妮缇拉尔瓦,search_only_not_poll_normalized,low,search_vocabulary_only
⑨,琪露诺,thbwiki_community_nickname_candidate,琪露诺,チルノ,https://thbwiki.cc/琪露诺,search_only_not_poll_normalized,low,search_vocabulary_only
⑨妈,蕾蒂·霍瓦特洛克,thbwiki_community_nickname_candidate,蕾蒂·霍瓦特洛克,レティ・ホワイトロック,https://thbwiki.cc/蕾蒂·霍瓦特洛克,search_only_not_poll_normalized,low,search_vocabulary_only
⑩,露米娅,thbwiki_community_nickname_candidate,露米娅,ルーミア,https://thbwiki.cc/露米娅,search_only_not_poll_normalized,low,search_vocabulary_only
丁礼田舞,丁礼田舞,thbwiki_cn_reference_name,丁礼田舞,丁礼田 舞,https://thbwiki.cc/丁礼田舞,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
三头慧之子,三头慧之子,thbwiki_cn_reference_name,三头慧之子,三頭 慧ノ子,https://thbwiki.cc/三头慧之子,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
三月精,斯塔萨菲雅,thbwiki_community_nickname_candidate,斯塔萨菲雅,スターサファイア,https://thbwiki.cc/斯塔萨菲雅,ambiguous_source_characters,low,manual_review_only
三月精,桑尼米尔克,thbwiki_community_nickname_candidate,桑尼米尔克,サニーミルク,https://thbwiki.cc/桑尼米尔克,ambiguous_source_characters,low,manual_review_only
三月精,露娜切露德,thbwiki_community_nickname_candidate,露娜切露德,ルナチャイルド,https://thbwiki.cc/露娜切露德,ambiguous_source_characters,low,manual_review_only
上白泽慧音,上白泽慧音,thbwiki_cn_reference_name,上白泽慧音,上白沢 慧音,https://thbwiki.cc/上白泽慧音,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
不死鸟,藤原妹红,thbwiki_community_nickname_candidate,藤原妹红,藤原 妹紅,https://thbwiki.cc/藤原妹红,search_only_not_poll_normalized,low,search_vocabulary_only
不认识的孩子,键山雏,thbwiki_community_nickname_candidate,键山雏,鍵山 雛,https://thbwiki.cc/键山雏,search_only_not_poll_normalized,low,search_vocabulary_only
东洋魔女,雾雨魔理沙,thbwiki_community_nickname_candidate,雾雨魔理沙,霧雨 魔理沙,https://thbwiki.cc/雾雨魔理沙,search_only_not_poll_normalized,low,search_vocabulary_only
东风谷早苗,东风谷早苗,thbwiki_cn_reference_name,东风谷早苗,東風谷 早苗,https://thbwiki.cc/东风谷早苗,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
丰聪耳神子,丰聪耳神子,thbwiki_cn_reference_name,丰聪耳神子,豊聡耳 神子,https://thbwiki.cc/丰聪耳神子,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
乌龟,玄爷,thbwiki_community_nickname_candidate,玄爷,玄爺,https://thbwiki.cc/玄爷,search_only_not_poll_normalized,low,search_vocabulary_only
乐子神,摩多罗隐岐奈,thbwiki_community_nickname_candidate,摩多罗隐岐奈,摩多羅 隠岐奈,https://thbwiki.cc/摩多罗隐岐奈,search_only_not_poll_normalized,low,search_vocabulary_only
九十九八桥,九十九八桥,thbwiki_cn_reference_name,九十九八桥,九十九 八橋,https://thbwiki.cc/九十九八桥,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
九十九姐妹,九十九八桥,thbwiki_community_nickname_candidate,九十九八桥,九十九 八橋,https://thbwiki.cc/九十九八桥,ambiguous_source_characters,low,manual_review_only
九十九姐妹,九十九弁弁,thbwiki_community_nickname_candidate,九十九弁弁,九十九 弁々,https://thbwiki.cc/九十九弁弁,ambiguous_source_characters,low,manual_review_only
九十九弁弁,九十九弁弁,thbwiki_cn_reference_name,九十九弁弁,九十九 弁々,https://thbwiki.cc/九十九弁弁,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
乡长,森近霖之助,thbwiki_community_nickname_candidate,森近霖之助,森近 霖之助,https://thbwiki.cc/森近霖之助,search_only_not_poll_normalized,low,search_vocabulary_only
乳町,小野塚小町,thbwiki_community_nickname_candidate,小野塚小町,小野塚 小町,https://thbwiki.cc/小野塚小町,search_only_not_poll_normalized,low,search_vocabulary_only
二妹,芙兰朵露·斯卡蕾特,thbwiki_community_nickname_candidate,芙兰朵露·斯卡蕾特,フランドール・スカーレット,https://thbwiki.cc/芙兰朵露·斯卡蕾特,search_only_not_poll_normalized,low,search_vocabulary_only
二婶子,丰聪耳神子,thbwiki_community_nickname_candidate,丰聪耳神子,豊聡耳 神子,https://thbwiki.cc/丰聪耳神子,search_only_not_poll_normalized,low,search_vocabulary_only
二小姐,芙兰朵露·斯卡蕾特,thbwiki_community_nickname_candidate,芙兰朵露·斯卡蕾特,フランドール・スカーレット,https://thbwiki.cc/芙兰朵露·斯卡蕾特,search_only_not_poll_normalized,low,search_vocabulary_only
二岩猯藏,二岩猯藏,thbwiki_cn_reference_name,二岩猯藏,二ッ岩 マミゾウ,https://thbwiki.cc/二岩猯藏,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
人偶师,爱丽丝·玛格特洛依德,thbwiki_community_nickname_candidate,爱丽丝·玛格特洛依德,アリス・マーガトロイド,https://thbwiki.cc/爱丽丝·玛格特洛依德,search_only_not_poll_normalized,low,search_vocabulary_only
人鱼,若鹭姬,thbwiki_community_nickname_candidate,若鹭姬,わかさぎ姫,https://thbwiki.cc/若鹭姬,search_only_not_poll_normalized,low,search_vocabulary_only
今泉影狼,今泉影狼,thbwiki_cn_reference_name,今泉影狼,今泉 影狼,https://thbwiki.cc/今泉影狼,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
