"sample_id","source_url","thread_title","related_round","total_reply_count","floor","sample_type","parent_floor","author","posted_date","location","character_cn_raw","raw_text","capture_scope","metric_note","observed_at"
"tieba_9996937304_f2_main","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","2","rank_heading","","博丽妖梦","2025-08-30","江西","古明地恋","第一名：古明地恋","pc_web_pagination_virtual_scroll","535为帖子全部回复数；本表每行是网页可见文本记录，禁止与票数、赞数或其他平台指标相加。","2026-08-24"
"tieba_9996937304_f2_reply1","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","","nested_reply","2","博丽妖梦","2025-08-30","江西","古明地恋","卧薪尝胆十年","pc_web_visible_nested_replies","535为帖子全部回复数；楼中楼只记录PC网页当前展开可见文本，未展开计数不等于无回复。","2026-08-24"
"tieba_9996937304_f2_reply2","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","","nested_reply","2","柏崎栞","2025-08-31","广东","古明地恋","天然黑，二创阴湿形象太多的，人气坐稳了","pc_web_visible_nested_replies","535为帖子全部回复数；楼中楼只记录PC网页当前展开可见文本，未展开计数不等于无回复。","2026-08-24"
"tieba_9996937304_f2_reply3","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","","nested_reply","2","幻想乡最强妖精","2025-08-31","广东","古明地恋","回复 幻想乡最强妖精 :恋恋天下第一","pc_web_visible_nested_replies","535为帖子全部回复数；楼中楼只记录PC网页当前展开可见文本，未展开计数不等于无回复。","2026-08-24"
"tieba_9996937304_f3_main","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","3","rank_heading","","博丽妖梦","2025-08-30","江西","雾雨魔理沙","第二名：雾雨魔理沙","pc_web_pagination_virtual_scroll","535为帖子全部回复数；本表每行是网页可见文本记录，禁止与票数、赞数或其他平台指标相加。","2026-08-24"
"tieba_9996937304_f3_reply1","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","","nested_reply","3","贴吧用户_JPy6y7t244","2025-08-30","江苏","雾雨魔理沙","输了啊","pc_web_visible_nested_replies","535为帖子全部回复数；楼中楼只记录PC网页当前展开可见文本，未展开计数不等于无回复。","2026-08-24"
"tieba_9996937304_f3_reply2","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","","nested_reply","3","柏崎栞","2025-08-31","广东","雾雨魔理沙","没事至少把灵梦肘后边了，万年老二这块","pc_web_visible_nested_replies","535为帖子全部回复数；楼中楼只记录PC网页当前展开可见文本，未展开计数不等于无回复。","2026-08-24"
"tieba_9996937304_f3_reply3","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","","nested_reply","3","宇宙拿铁色.","2025-09-01","江西","雾雨魔理沙","万年老二","pc_web_visible_nested_replies","535为帖子全部回复数；楼中楼只记录PC网页当前展开可见文本，未展开计数不等于无回复。","2026-08-24"
"tieba_9996937304_f3_reply4","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","","nested_reply","3","El-Tapato","2025-09-01","河北","雾雨魔理沙","下次给金发孩子肘上去","pc_web_visible_nested_replies","535为帖子全部回复数；楼中楼只记录PC网页当前展开可见文本，未展开计数不等于无回复。","2026-08-24"
"tieba_9996937304_f4_main","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","4","rank_heading","","博丽妖梦","2025-08-30","江西","博丽灵梦","第三名：博丽灵梦","pc_web_pagination_virtual_scroll","535为帖子全部回复数；本表每行是网页可见文本记录，禁止与票数、赞数或其他平台指标相加。","2026-08-24"
