record_id,platform,platform_region,forum,source_url,search_query,post_title,author,posted_date,posted_date_precision,character_cn,character_jp,poll_region_alignment,related_round,round_status,event_class,reply_count,other_visible_counts,excerpt,metrics_note,access_status,observed_at,verification_status,character_mentions_cn,normalization_note
tieba_r22_yamashan_support,Tieba,CN,驹草山如吧,https://tieba.baidu.com/p/10962352809,东方人气投票,第22回东方人气投票应援楼&抽奖,川田阳菜乃,2026-08-22,day,驹草山如,駒草山如,jp,22,ongoing,support_or_mobilization,1,6/1,第22回东方project人气投票已经开启；喜欢山如的吧u们快来给山如投票吧；带投票截图回复抽周边。,回复数由页面“全部回复(1)”确认；6/1为页面未标注字段，不解释为赞或分享。,public_post_body_login_for_more,2026-08-23,verified_visible,驹草山如,公开帖正文与已标注回复数；other_visible_counts保留未标注数字，禁止解释为赞、浏览或票数。
tieba_r22_satori_support,Tieba,CN,东方吧,https://tieba.baidu.com/p/10964667162,东方人气投票,请给古明地觉投下宝贵的票🤝,ピンク色の変な生き物,2026-08-22,day,古明地觉,古明地さとり,jp,22,ongoing,support_or_mobilization,6,27/3,正文逐届列出第6—21回‘梦碎’称呼并请求投票，连续失败梗被直接接入第22回应援。,回复数由页面“全部回复(6)”确认；27/3为页面未标注字段，不解释为赞或分享。,public_post_body_login_for_more,2026-08-23,verified_visible,古明地觉,公开帖正文与已标注回复数；other_visible_counts保留未标注数字，禁止解释为赞、浏览或票数。
tieba_r22_translation_tool,Tieba,CN,东方吧,https://tieba.baidu.com/p/10963038584,东方人气投票,【工具】东方人气投票中文翻译脚本插件,astrolumos,2026-08-22,day,全角色,,jp,22,ongoing,accessibility_or_mobilization,10,27/9,脚本自动翻译投票选项中的人名、歌曲名和作品名；译名来自thbwiki，评论讨论片假名与看不懂日文的投票障碍。,回复数由页面“全部回复(10)”确认；27/9为页面未标注字段，不解释为赞或分享。,public_post_body_login_for_more,2026-08-23,verified_visible,全角色,公开帖正文与已标注回复数；other_visible_counts保留未标注数字，禁止解释为赞、浏览或票数。
tieba_r22_koishi_300heroes,Tieba,CN,300英雄吧,https://tieba.baidu.com/p/10962283358,东方人气投票,东方Project，2026人气投票已经开始,贴吧用户_Ja2UUAN,2026-08-22,day,古明地恋,古明地こいし,jp,22,ongoing,game_usage_vs_poll_discussion,22,7/2,帖子将投票时间写为8月28日22:59，并把上年恋恋第一与300英雄近期出场率倒数并置。,回复数由页面“全部回复(22)”确认；7/2为页面未标注字段，不解释为赞或分享。,public_post_body_login_for_more,2026-08-23,verified_visible,古明地恋,公开帖正文与已标注回复数；other_visible_counts保留未标注数字，禁止解释为赞、浏览或票数。
tieba_r22_rise_prediction,Tieba,CN,东方吧,https://tieba.baidu.com/p/10966525817,投票,大胆预测这次投票会名次飙升的角色,冥鸣茗,2026-08-23,day,多角色,,jp,22,ongoing,prediction_and_derivative_diffusion,9,33/1,楼层预测姥芽、妹红、东方鬼和牛崎润美可能上升，理由分别连接归言录、尼古丁猫/叼烟二创、酒猫与投票前新作曝光。,回复数由页面“全部回复(9)”确认；33/1为页面未标注字段，不解释为赞或分享。,logged_in_full_visible_sample,2026-08-24,verified_visible,多角色;牛崎润美;藤原妹红,公开帖正文与已标注回复数；other_visible_counts保留未标注数字，禁止解释为赞、浏览或票数。
tieba_r22_kagerou_support,Tieba,CN,东方吧,https://tieba.baidu.com/p/10965823106,投票,投票今泉影狼喵，我什么都不会做的,美铃·一德格拉米,2026-08-23,day,今泉影狼,今泉 影狼,jp,22,ongoing,support_or_mobilization,1,1,题名以猫化语尾请求给今泉影狼投票；正文图像内容未作文本推断。,回复数由页面“全部回复(1)”确认；另一数字1字段未标注。,logged_in_full_visible_sample,2026-08-24,verified_visible,今泉影狼,公开帖正文与已标注回复数；other_visible_counts保留未标注数字，禁止解释为赞、浏览或票数。
tieba_r22_hifuu_support,Tieba,CN,东方吧,https://tieba.baidu.com/p/10964871856,投票,我喝醉了，命令你们把票全部投给秘封,复活的宇佐见莲子,2026-08-23,day,宇佐见莲子;玛艾露贝莉·赫恩,宇佐見 蓮子;マエリベリー・ハーン,jp,22,ongoing,support_or_mobilization,1,15/1,正文自创‘啤酒付丧神’能力，命令把票投给秘封，并用莲子、梅莉到你家作轻喜剧威胁。,回复数由页面“全部回复(1)”确认；15/1为页面未标注字段。,logged_in_full_visible_sample,2026-08-24,verified_visible,宇佐见莲子;玛艾露贝莉·赫恩;玛艾露贝莉·赫恩;宇佐见莲子,公开帖正文与已标注回复数；other_visible_counts保留未标注数字，禁止解释为赞、浏览或票数。
tieba_r16_ex_attention,Tieba,CN,东方吧,https://tieba.baidu.com/p/7203763193,第16回东方人气投票ex,第16回东方人气投票ex 国内貌似没什么关注度的样子？,,2021-01-24,day,全角色,,jp,16,complete,participation_and_attention_discussion,18,,正文询问日区EX投票在国内为何关注度不高；回复同时出现求投票网址、参与门槛与“排名不影响本命，过高反而招黑”等态度。,18为帖子显示总回复数；不等于本表采样评论数、票数或支持人数。,pc_web_fulltext_available,2026-08-24,verified_visible,全角色,公开帖正文与已标注回复数；other_visible_counts保留未标注数字，禁止解释为赞、浏览或票数。
tieba_r18_meiling_support,Tieba,CN,东方吧,https://tieba.baidu.com/p/8024657664,第十八回东方人气投票红美铃应援,第十八回东方人气投票红美铃应援,,2022-09-17,day,红美铃,紅 美鈴,jp,18,complete,support_or_mobilization,3,,正文以“帅气可爱友善的天然大姐姐”“红师傅”请求投票；回复出现“美铃！美铃！”。,3为帖子显示总回复数；不能解释为投票转化。,pc_web_fulltext_available,2026-08-24,verified_visible,红美铃,公开帖正文与已标注回复数；other_visible_counts保留未标注数字，禁止解释为赞、浏览或票数。
tieba_r21_rank_evaluation,Tieba,CN,东方吧,https://tieba.baidu.com/p/9996937304,2025东方project人气投票排名评价,2025东方project人气投票排名评价,博丽妖梦,2025-08-30,day,多角色,,jp,21,complete,post_result_rank_interpretation,535,,楼主按一人一楼整理到第163名；PC网页分页并逐页虚拟滚动后采得163个角色标题、252条楼中楼和1条完结说明。,535为帖子显示总回复数；416为已采文本记录；163为名次标题；252为楼中楼。四者分列且禁止相加。,pc_web_pagination_virtual_scroll_fulltext,2026-08-24,verified_visible,多角色,公开帖正文与已标注回复数；other_visible_counts保留未标注数字，禁止解释为赞、浏览或票数。
tieba_r15_daiyousei_support,Tieba,CN,大妖精吧,https://tieba.baidu.com/p/6030791757,第15回东方人气投票 大妖精,听说日本的15届东方人气投票开始了 吧里没有引援贴吗？,工苛asd,2019-02-09,day,大妖精,大妖精,jp,15,complete,support_and_participation_discussion,8,,楼主询问应援帖；回复连续使用“全世界的大酱厨联合起来”，也出现“来个链接”“好冷清”“大酱厨太少啦”。,8为帖子显示总回复数；楼层文本另行计样本，不能与票数相加。,pc_web_fulltext_available,2026-08-24,verified_visible,大妖精,公开帖正文与已标注回复数；other_visible_counts保留未标注数字，禁止解释为赞、浏览或票数。
tieba_r14_twitter_ballot_stats,Tieba,CN,东方吧,https://tieba.baidu.com/p/5517613326,第14回东方人气投票 推特晒票统计,第14回东方人气投票 第二日 推特晒票统计结果：,北海司º,2018-01-16,day,多角色,,jp,14,complete,contemporaneous_social_trend_snapshot_and_reaction,177,3/190,原帖用图片展示第二日Twitter晒票统计；PC分页采得99条文字回复，讨论紫苑“上火箭”、文超过紫、天空璋新作表现、女苑与紫苑差距等。,177为帖子显示总回复数；99为已采文本；图片Top24已手工复核；3/190为页面未标注数字。四者不可相加。,pc_web_pagination_virtual_scroll_fulltext,2026-08-24,verified_visible,多角色;依神女苑;依神紫苑,公开帖正文与已标注回复数；other_visible_counts保留未标注数字，禁止解释为赞、浏览或票数。
