round,poll_period,character,rank,rank_prev,points,primary_num,comment_num,official_support_count,score_source,source_path
3,2004-10-17—2004-10-23,霧雨 魔理沙,1,,2284,785,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,魂魄 妖夢,2,,1802,490,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,十六夜 咲夜,3,,1746,585,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,西行寺 幽々子,4,,1502,406,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,鈴仙・優曇華院・イナバ,5,,1482,311,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,博麗 霊夢,6,,1391,426,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,上白沢 慧音,7,,996,204,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,レミリア・スカーレット,8,,843,174,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,八雲 藍,9,,809,198,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,アリス・マーガトロイド,10,,759,179,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,八雲 紫,11,,720,173,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,藤原 妹紅,12,,609,109,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,紅 美鈴,13,,532,124,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,パチュリー・ノーレッジ,14,,513,104,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,フランドール・スカーレット,15,,486,96,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,八意 永琳,16,,387,63,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,橙,17,,302,55,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,蓬莱山 輝夜,18,,298,49,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,ルーミア,19,,248,51,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,ルナサ・プリズムリバー,20,,246,51,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,チルノ,21,,234,53,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,因幡 てゐ,21,,234,28,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,リリーホワイト,23,,143,32,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,ミスティア・ローレライ,24,,120,23,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
