round,poll_period,character,rank,rank_prev,points,primary_num,comment_num,official_support_count,score_source,source_path
3,2004-10-17—2004-10-23,博麗 霊夢,6,,1391,426,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,霧雨 魔理沙,1,,2284,785,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,十六夜 咲夜,3,,1746,585,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,レミリア・スカーレット,8,,843,174,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,フランドール・スカーレット,15,,486,96,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,魂魄 妖夢,2,,1802,490,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,西行寺 幽々子,4,,1502,406,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,藤原 妹紅,12,,609,109,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,チルノ,21,,234,53,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,博麗 霊夢,2,6,1245,379,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,霧雨 魔理沙,1,1,1301,409,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,十六夜 咲夜,3,3,1165,384,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,レミリア・スカーレット,11,8,688,174,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,フランドール・スカーレット,13,15,465,92,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,魂魄 妖夢,9,2,877,236,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,西行寺 幽々子,4,4,1092,312,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,藤原 妹紅,18,12,367,79,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,チルノ,19,21,330,78,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,博麗 霊夢,1,2,3927,881,1132,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,霧雨 魔理沙,2,1,3867,844,1119,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,十六夜 咲夜,4,3,3154,631,933,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,レミリア・スカーレット,5,11,3083,582,927,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,フランドール・スカーレット,10,13,2497,400,761,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,魂魄 妖夢,12,9,2169,425,663,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,西行寺 幽々子,6,4,2973,661,823,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,藤原 妹紅,9,18,2544,425,789,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
