canonical_name,name_cn,name_jp,factions,primary_faction,basis,thbwiki_url,first_appearance
reisen,Reisen,,作品首登：东方儚月抄 ～ Cage in Lunatic Runagate.,作品首登：东方儚月抄 ～ Cage in Lunatic Runagate.,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/Reisen,东方儚月抄 ～ Cage in Lunatic Runagate.
三头慧之子,三头慧之子,三頭 慧ノ子,作品首登：东方兽王园,作品首登：东方兽王园,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/三头慧之子,东方兽王园
孙美天,孙美天,孫 美天,作品首登：东方兽王园,作品首登：东方兽王园,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/孙美天,东方兽王园
依神女苑,依神女苑,依神女苑,作品首登：东方凭依华,作品首登：东方凭依华,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/依神女苑,东方凭依华
依神紫苑,依神紫苑,依神紫苑,作品首登：东方凭依华,作品首登：东方凭依华,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/依神紫苑,东方凭依华
星熊勇仪,星熊勇仪,星熊 勇儀,作品首登：东方地灵殿,作品首登：东方地灵殿,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/星熊勇仪,东方地灵殿
水桥帕露西,水桥帕露西,水橋 パルスィ,作品首登：东方地灵殿,作品首登：东方地灵殿,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/水桥帕露西,东方地灵殿
琪斯美,琪斯美,キスメ,作品首登：东方地灵殿,作品首登：东方地灵殿,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/琪斯美,东方地灵殿
黑谷山女,黑谷山女,黒谷 ヤマメ,作品首登：东方地灵殿,作品首登：东方地灵殿,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/黑谷山女,东方地灵殿
丁礼田舞,丁礼田舞,丁礼田舞,作品首登：东方天空璋,作品首登：东方天空璋,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/丁礼田舞,东方天空璋
坂田合欢,坂田合欢,坂田ネムノ,作品首登：东方天空璋,作品首登：东方天空璋,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/坂田合欢,东方天空璋
尔子田里乃,尔子田里乃,爾子田里乃,作品首登：东方天空璋,作品首登：东方天空璋,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/尔子田里乃,东方天空璋
摩多罗隐岐奈,摩多罗隐岐奈,摩多羅隠岐奈,作品首登：东方天空璋,作品首登：东方天空璋,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/摩多罗隐岐奈,东方天空璋
矢田寺成美,矢田寺成美,矢田寺成美,作品首登：东方天空璋,作品首登：东方天空璋,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/矢田寺成美,东方天空璋
八云紫,八云紫,八雲 紫,作品首登：东方妖妖梦,作品首登：东方妖妖梦,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/八云紫,东方妖妖梦
八云蓝,八云蓝,八雲 藍,作品首登：东方妖妖梦,作品首登：东方妖妖梦,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/八云蓝,东方妖妖梦
梅露兰普莉兹姆利巴,梅露兰·普莉兹姆利巴,メルラン・プリズムリバー,作品首登：东方妖妖梦,作品首登：东方妖妖梦,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/梅露兰·普莉兹姆利巴,东方妖妖梦
橙,橙,橙,作品首登：东方妖妖梦,作品首登：东方妖妖梦,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/橙,东方妖妖梦
爱丽丝玛格特洛依德,爱丽丝·玛格特洛依德,アリス・マーガトロイド,作品首登：东方妖妖梦,作品首登：东方妖妖梦,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/爱丽丝·玛格特洛依德,东方妖妖梦
莉莉卡普莉兹姆利巴,莉莉卡·普莉兹姆利巴,リリカ・プリズムリバー,作品首登：东方妖妖梦,作品首登：东方妖妖梦,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/莉莉卡·普莉兹姆利巴,东方妖妖梦
蕾拉普莉兹姆利巴,蕾拉·普莉兹姆利巴,レイラ・プリズムリバー,作品首登：东方妖妖梦,作品首登：东方妖妖梦,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/蕾拉·普莉兹姆利巴,东方妖妖梦
蕾蒂霍瓦特洛克,蕾蒂·霍瓦特洛克,レティ・ホワイトロック,作品首登：东方妖妖梦,作品首登：东方妖妖梦,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/蕾蒂·霍瓦特洛克,东方妖妖梦
露娜萨普莉兹姆利巴,露娜萨·普莉兹姆利巴,ルナサ・プリズムリバー,作品首登：东方妖妖梦,作品首登：东方妖妖梦,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/露娜萨·普莉兹姆利巴,东方妖妖梦
明罗,明罗,明羅,作品首登：东方封魔录,作品首登：东方封魔录,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/明罗,东方封魔录
玄爷,玄爷,玄爺,作品首登：东方封魔录,作品首登：东方封魔录,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/玄爷,东方封魔录
里香,里香,里香,作品首登：东方封魔录,作品首登：东方封魔录,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/里香,东方封魔录
奥莲姬,奥莲姬,オレンジ,作品首登：东方幻想乡,作品首登：东方幻想乡,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/奥莲姬,东方幻想乡
幽香,幽香,幽香,作品首登：东方幻想乡,作品首登：东方幻想乡,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/幽香,东方幻想乡
胡桃,胡桃,くるみ,作品首登：东方幻想乡,作品首登：东方幻想乡,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/胡桃,东方幻想乡
艾丽,艾丽,エリー,作品首登：东方幻想乡,作品首登：东方幻想乡,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/艾丽,东方幻想乡
秦心,秦心,秦 こころ,作品首登：东方心绮楼,作品首登：东方心绮楼,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/秦心,东方心绮楼
舞,舞,マイ,作品首登：东方怪绮谈,作品首登：东方怪绮谈,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/舞,东方怪绮谈
舞1,舞1,マイ,作品首登：东方怪绮谈,作品首登：东方怪绮谈,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/舞,东方怪绮谈
萨拉,萨拉,サラ,作品首登：东方怪绮谈,作品首登：东方怪绮谈,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/萨拉,东方怪绮谈
雪,雪,ユキ,作品首登：东方怪绮谈,作品首登：东方怪绮谈,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/雪,东方怪绮谈
雪1,雪1,ユキ,作品首登：东方怪绮谈,作品首登：东方怪绮谈,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/雪,东方怪绮谈
多多良小伞,多多良小伞,多々良 小傘,作品首登：东方星莲船,作品首登：东方星莲船,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/多多良小伞,东方星莲船
娜兹玲,娜兹玲,ナズーリン,作品首登：东方星莲船,作品首登：东方星莲船,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/娜兹玲,东方星莲船
宫出口瑞灵,宫出口瑞灵,宮出口瑞霊,作品首登：东方智灵奇传,作品首登：东方智灵奇传,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/宫出口瑞灵,东方智灵奇传
冈崎梦美,冈崎梦美,岡崎 夢美,作品首登：东方梦时空,作品首登：东方梦时空,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/冈崎梦美,东方梦时空
北白河千百合,北白河千百合,北白河 ちゆり,作品首登：东方梦时空,作品首登：东方梦时空,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/北白河千百合,东方梦时空
卡娜安娜贝拉尔,卡娜·安娜贝拉尔,カナ・アナベラル,作品首登：东方梦时空,作品首登：东方梦时空,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/卡娜·安娜贝拉尔,东方梦时空
咪咪号,咪咪号,ミミちゃん,作品首登：东方梦时空,作品首登：东方梦时空,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/咪咪号,东方梦时空
小兔姬,小兔姬,小兎姫,作品首登：东方梦时空,作品首登：东方梦时空,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/小兔姬,东方梦时空
朝仓理香子,朝仓理香子,朝倉 理香子,作品首登：东方梦时空,作品首登：东方梦时空,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/朝仓理香子,东方梦时空
爱莲,爱莲,エレン,作品首登：东方梦时空,作品首登：东方梦时空,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/爱莲,东方梦时空
玛○奇,玛○奇,,作品首登：东方梦时空,作品首登：东方梦时空,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/玛○奇,东方梦时空
留琴,留琴,るーこと,作品首登：东方梦时空,作品首登：东方梦时空,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/留琴,东方梦时空
苏格拉底,苏格拉底,,作品首登：东方梦时空,作品首登：东方梦时空,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/苏格拉底,东方梦时空
上白泽慧音,上白泽慧音,上白沢 慧音,作品首登：东方永夜抄,作品首登：东方永夜抄,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/上白泽慧音,东方永夜抄
米斯蒂娅萝蕾拉,米斯蒂娅·萝蕾拉,ミスティア・ローレライ,作品首登：东方永夜抄,作品首登：东方永夜抄,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/米斯蒂娅·萝蕾拉,东方永夜抄
莉格露奈特巴格,莉格露·奈特巴格,リグル・ナイトバグ,作品首登：东方永夜抄,作品首登：东方永夜抄,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/莉格露·奈特巴格,东方永夜抄
藤原妹红,藤原妹红,藤原 妹紅,作品首登：东方永夜抄,作品首登：东方永夜抄,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/藤原妹红,东方永夜抄
稗田阿求,稗田阿求,稗田 阿求,作品首登：东方求闻史纪,作品首登：东方求闻史纪,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/稗田阿求,东方求闻史纪
依莉斯,依莉斯,エリス,作品首登：东方灵异传,作品首登：东方灵异传,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/依莉斯,东方灵异传
幽幻魔眼,幽幻魔眼,ユウゲンマガン,作品首登：东方灵异传,作品首登：东方灵异传,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/幽幻魔眼,东方灵异传
矜羯罗,矜羯罗,コンガラ,作品首登：东方灵异传,作品首登：东方灵异传,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/矜羯罗,东方灵异传
神玉,神玉,シンギョク,作品首登：东方灵异传,作品首登：东方灵异传,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/神玉,东方灵异传
菊理,菊理,キクリ,作品首登：东方灵异传,作品首登：东方灵异传,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/菊理,东方灵异传
二岩猯藏,二岩猯藏,二ッ岩 マミゾウ,作品首登：东方神灵庙,作品首登：东方神灵庙,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/二岩猯藏,东方神灵庙
冴月麟,冴月麟,C62サークルカットの娘,作品首登：东方红魔乡,作品首登：东方红魔乡,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/冴月麟,东方红魔乡
雾雨魔理沙,雾雨魔理沙,霧雨 魔理沙,作品首登：东方红魔乡,作品首登：东方红魔乡,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/雾雨魔理沙,东方红魔乡
露米娅,露米娅,ルーミア,作品首登：东方红魔乡,作品首登：东方红魔乡,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/露米娅,东方红魔乡
哆来咪苏伊特,哆来咪·苏伊特,ドレミー・スイート,作品首登：东方绀珠传,作品首登：东方绀珠传,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/哆来咪·苏伊特,东方绀珠传
清兰,清兰,清蘭,作品首登：东方绀珠传,作品首登：东方绀珠传,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/清兰,东方绀珠传
稀神探女,稀神探女,稀神 サグメ,作品首登：东方绀珠传,作品首登：东方绀珠传,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/稀神探女,东方绀珠传
纯狐,纯狐,純狐,作品首登：东方绀珠传,作品首登：东方绀珠传,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/纯狐,东方绀珠传
赫卡提亚拉碧斯拉祖利,赫卡提亚·拉碧斯拉祖利,ヘカーティア・ラピスラズリ,作品首登：东方绀珠传,作品首登：东方绀珠传,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/赫卡提亚·拉碧斯拉祖利,东方绀珠传
铃瑚,铃瑚,鈴瑚,作品首登：东方绀珠传,作品首登：东方绀珠传,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/铃瑚,东方绀珠传
大鲶鱼,大鲶鱼,大ナマズ,作品首登：东方绯想天,作品首登：东方绯想天,仅按THBWiki整理的首次登场作品分组；不等同正式组织阵营。,https://thbwiki.cc/大鲶鱼,东方绯想天
