region,round,round_label,category,entity_id,canonical_name,name_jp,name_cn,rank,equal_rank,old_2_1_rank,points,old_2_1_points,primary_count,secondary_count,other_count,selection_count,ballots,primary_rate,secondary_rate,top2_rate,selection_rate,male_rate,female_rate,other_gender_rate,under20_rate,overall_male_rate,overall_female_rate,overall_other_gender_rate,equal_rank_change,source_type
cn,1,CN1,character,1,博丽灵梦,博麗 霊夢,博丽灵梦,1,1,,2219.0,,491.0,,1237.0,1728.0,6365,0.28414351851851855,,,0.27148468185388847,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,11,芙兰朵露斯卡蕾特,フランドール・スカーレット,芙兰朵露·斯卡蕾特,2,2,,1759.0,,374.0,,1011.0,1385.0,6365,0.2700361010830325,,,0.2175962293794187,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,21,西行寺幽幽子,西行寺 幽々子,西行寺幽幽子,2,2,,1691.0,,306.0,,1079.0,1385.0,6365,0.22093862815884477,,,0.2175962293794187,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,10,蕾米莉亚斯卡蕾特,レミリア・スカーレット,蕾米莉亚·斯卡蕾特,4,4,,1613.0,,290.0,,1033.0,1323.0,6365,0.21919879062736206,,,0.20785545954438334,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,9,十六夜咲夜,十六夜 咲夜,十六夜咲夜,5,5,,1390.0,,252.0,,886.0,1138.0,6365,0.22144112478031636,,,0.17879025923016498,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,2,雾雨魔理沙,霧雨 魔理沙,雾雨魔理沙,6,6,,1385.0,,274.0,,837.0,1111.0,6365,0.24662466246624662,,,0.17454831107619795,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,23,八云紫,八雲 紫,八云紫,7,7,,1356.0,,257.0,,842.0,1099.0,6365,0.2338489535941765,,,0.17266300078554594,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,15,爱丽丝玛格特洛依德,アリス・マーガトロイド,爱丽丝·玛格特洛依德,8,8,,1292.0,,264.0,,764.0,1028.0,6365,0.25680933852140075,,,0.1615082482325216,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,8,帕秋莉诺蕾姬,パチュリー・ノーレッジ,帕秋莉·诺蕾姬,9,9,,1135.0,,206.0,,723.0,929.0,6365,0.2217438105489774,,,0.14595443833464258,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,34,藤原妹红,藤原 妹紅,藤原妹红,10,10,,1152.0,,237.0,,678.0,915.0,6365,0.25901639344262295,,,0.14375490966221524,,,,,,,,0,cn_normalized_workbook
