region,round,round_label,character_canonical,character_name_cn,character_name_jp,music_canonical,music_name_cn,music_name_jp,association_source,character_rank,character_equal_rank,character_old_2_1_rank,character_points,character_old_2_1_points,character_primary_count,character_secondary_count,character_other_count,character_selection_count,character_ballots,character_primary_rate,character_secondary_rate,character_top2_rate,character_selection_rate,character_male_rate,character_female_rate,character_other_gender_rate,character_under20_rate,character_overall_male_rate,character_overall_female_rate,character_overall_other_gender_rate,music_rank,music_equal_rank,music_points,music_primary_count,music_secondary_count,music_selection_count,music_ballots,music_primary_rate,music_selection_rate,music_comment_count,music_arrangement_count,music_arrangement_cumulative_count,music_undated_arrangement_count,music_arrangement_total_count
cn,1,CN1,博丽灵梦,博丽灵梦,博麗 霊夢,东方妖恋谈,东方妖恋谈,東方妖恋談,local_music_merged.mapped_characters_json,1,1,,2219.0,,491.0,,1237.0,1728.0,6365,0.28414351851851855,,,0.27148468185388847,,,,,,,,78,78,102.0,5.0,,102.0,6105.0,0.049019607843137254,0.016707616707616706,,,,,392.0
cn,1,CN1,博丽灵梦,博丽灵梦,博麗 霊夢,春色小径,春色小径 ～ Colorful Path,春色小径　～ Colorful Path,local_music_merged.mapped_characters_json,1,1,,2219.0,,491.0,,1237.0,1728.0,6365,0.28414351851851855,,,0.27148468185388847,,,,,,,,93,93,75.0,5.0,,75.0,6105.0,0.06666666666666667,0.012285012285012284,,,,,1135.0
cn,1,CN1,芙兰朵露斯卡蕾特,芙兰朵露·斯卡蕾特,フランドール・スカーレット,unowen就是她吗,U.N.OWEN就是她吗？,U.N.オーエンは彼女なのか？,local_music_merged.mapped_characters_json,2,2,,1759.0,,374.0,,1011.0,1385.0,6365,0.2700361010830325,,,0.2175962293794187,,,,,,,,1,1,1686.0,375.0,,1686.0,6105.0,0.22241992882562278,0.27616707616707614,,,,,5773.0
cn,1,CN1,西行寺幽幽子,西行寺幽幽子,西行寺 幽々子,幽雅地绽放吧墨染的樱花,幽雅地绽放吧，墨染的樱花 ～ Border of Life,幽雅に咲かせ、墨染の桜　～ Border of Life,local_music_merged.mapped_characters_json,2,2,,1691.0,,306.0,,1079.0,1385.0,6365,0.22093862815884477,,,0.2175962293794187,,,,,,,,2,2,1649.0,334.0,,1649.0,6105.0,0.2025469981807156,0.2701064701064701,,,,,2950.0
cn,1,CN1,芙兰朵露斯卡蕾特,芙兰朵露·斯卡蕾特,フランドール・スカーレット,魔法少女们的百年祭,魔法少女们的百年祭,魔法少女達の百年祭,local_music_merged.mapped_characters_json,2,2,,1759.0,,374.0,,1011.0,1385.0,6365,0.2700361010830325,,,0.2175962293794187,,,,,,,,51,51,200.0,8.0,,200.0,6105.0,0.04,0.03276003276003276,,,,,1255.0
cn,1,CN1,西行寺幽幽子,西行寺幽幽子,西行寺 幽々子,死灵的夜樱,死灵的夜樱,死霊の夜桜,local_music_merged.mapped_characters_json,2,2,,1691.0,,306.0,,1079.0,1385.0,6365,0.22093862815884477,,,0.2175962293794187,,,,,,,,61,61,156.0,16.0,,156.0,6105.0,0.10256410256410256,0.025552825552825554,,,,,801.0
cn,1,CN1,西行寺幽幽子,西行寺幽幽子,西行寺 幽々子,borderoflife,Border of Life,ボーダーオブライフ,local_music_merged.mapped_characters_json,2,2,,1691.0,,306.0,,1079.0,1385.0,6365,0.22093862815884477,,,0.2175962293794187,,,,,,,,106,106,58.0,4.0,,58.0,6105.0,0.06896551724137931,0.0095004095004095,,,,,394.0
cn,1,CN1,西行寺幽幽子,西行寺幽幽子,西行寺 幽々子,ghostlead,Ghost Lead,ゴーストリード,local_music_merged.mapped_characters_json,2,2,,1691.0,,306.0,,1079.0,1385.0,6365,0.22093862815884477,,,0.2175962293794187,,,,,,,,209,209,13.0,3.0,,13.0,6105.0,0.23076923076923078,0.0021294021294021295,,,,,369.0
cn,1,CN1,芙兰朵露斯卡蕾特,芙兰朵露·斯卡蕾特,フランドール・スカーレット,桑尼米尔克的红雾异变,桑尼米尔克的红雾异变,サニーミルクの紅霧異変,local_music_merged.mapped_characters_json,2,2,,1759.0,,374.0,,1011.0,1385.0,6365,0.2700361010830325,,,0.2175962293794187,,,,,,,,346,346,1.0,0.0,,1.0,6105.0,0.0,0.0001638001638001638,,,,,64.0
cn,1,CN1,蕾米莉亚斯卡蕾特,蕾米莉亚·斯卡蕾特,レミリア・スカーレット,献给已逝公主的七重奏,献给已逝公主的七重奏,亡き王女の為のセプテット,local_music_merged.mapped_characters_json,4,4,,1613.0,,290.0,,1033.0,1323.0,6365,0.21919879062736206,,,0.20785545954438334,,,,,,,,3,3,1506.0,272.0,,1506.0,6105.0,0.1806108897742364,0.2466830466830467,,,,,4732.0
