region,round,round_label,name_jp,name_cn,occurrence_count,rounds
cn,1,CN1,,Plastic Space,1,CN1
cn,1,CN1,,同归于尽,1,CN1
cn,1,CN1,,星幽剑士,1,CN1
cn,1,CN1,,未知物Ｘ　～ Unfound Adventure,1,CN1
cn,1,CN1,,机械马戏团　～ Reverie,1,CN1
cn,1,CN1,,樱花之恋塚　～ Flower of Japan,1,CN1
cn,1,CN1,,神秘的人偶　～ God Knows,1,CN1
cn,1,CN1,,花映塚　～ Higan Retour,1,CN1
cn,1,CN1,,花映塚　～ after Higan Retour,1,CN1
cn,2,CN2,,Lastword发动,1,CN2
cn,2,CN2,,Plastic Space,1,CN2
cn,2,CN2,,丝绸之路的爱丽丝,1,CN2
cn,2,CN2,,亡灵幻想曲,1,CN2
cn,2,CN2,,凋叶棕,1,CN2
cn,2,CN2,,出演者选择,1,CN2
cn,2,CN2,,同归于尽,1,CN2
cn,2,CN2,,夜晚无法入睡,1,CN2
cn,2,CN2,,幻想科学　～ Doll's Phantom,1,CN2
cn,2,CN2,,散漫之雨,1,CN2
cn,2,CN2,,新月般的妖精,1,CN2
cn,2,CN2,,星幽剑士,1,CN2
cn,2,CN2,,未知物Ｘ　～　Unfound Adventure,1,CN2
cn,2,CN2,,机械马戏团　～ Reverie（马戏团幻想）,1,CN2
cn,2,CN2,,村纱船长,1,CN2
cn,2,CN2,,樱花之恋塚　～ Flower of Japan,1,CN2
cn,2,CN2,,淡黄色的湿婆,1,CN2
cn,2,CN2,,灾难的双子座,1,CN2
cn,2,CN2,,生死之境,1,CN2
cn,2,CN2,,神秘的人偶　～ God Knows,1,CN2
cn,2,CN2,,究极的真实,1,CN2
cn,2,CN2,,花映塚 ～ after Higan Retour,1,CN2
cn,2,CN2,,花映塚　～ Higan Retour,1,CN2
cn,2,CN2,,魔法使之夜,1,CN2
cn,3,CN3,,Lastword发动,1,CN3
cn,3,CN3,,Plastic Space,1,CN3
cn,3,CN3,,丝绸之路的爱丽丝,1,CN3
cn,3,CN3,,亡灵幻想曲,1,CN3
cn,3,CN3,,凋叶棕,1,CN3
cn,3,CN3,,出演者选择,1,CN3
cn,3,CN3,,同归于尽,1,CN3
cn,3,CN3,,夜晚无法入睡,1,CN3
cn,3,CN3,,幻想科学　～ Doll's Phantom,1,CN3
cn,3,CN3,,散漫之雨,1,CN3
cn,3,CN3,,新月般的妖精,1,CN3
cn,3,CN3,,星幽剑士,1,CN3
cn,3,CN3,,未知物Ｘ　～　Unfound Adventure,1,CN3
cn,3,CN3,,机械马戏团　～ Reverie（马戏团幻想）,1,CN3
cn,3,CN3,,村纱船长,1,CN3
cn,3,CN3,,樱花之恋塚　～ Flower of Japan,1,CN3
cn,3,CN3,,淡黄色的湿婆,1,CN3
cn,3,CN3,,灾难的双子座,1,CN3
cn,3,CN3,,生死之境,1,CN3
cn,3,CN3,,神秘的人偶　～ God Knows,1,CN3
cn,3,CN3,,究极的真实,1,CN3
cn,3,CN3,,花映塚 ～ after Higan Retour,1,CN3
cn,3,CN3,,花映塚　～ Higan Retour,1,CN3
cn,3,CN3,,魔法使之夜,1,CN3
cn,4,CN4,,Lastword发动,1,CN4
cn,4,CN4,,Plastic Space,1,CN4
cn,4,CN4,,出演者选择,1,CN4
cn,4,CN4,,同归于尽,1,CN4
cn,4,CN4,,夜晚无法入睡,1,CN4
cn,4,CN4,,幻想科学　～ Doll's Phantom,1,CN4
cn,4,CN4,,星幽剑士,1,CN4
cn,4,CN4,,曲名不详,1,CN4
cn,4,CN4,,未知物Ｘ　～ Unfound Adventure,1,CN4
cn,4,CN4,,机械马戏团　～ Reverie（Circus Reverie）,1,CN4
cn,4,CN4,,樱花之恋塚　～ Flower of Japan,1,CN4
cn,4,CN4,,神秘的人偶　～ God Knows,1,CN4
cn,4,CN4,,花映塚 ～ after Higan Retour,1,CN4
cn,4,CN4,,花映塚　～ Higan Retour,1,CN4
cn,5,CN5,,Lastword发动,1,CN5
cn,5,CN5,,Plastic Space,1,CN5
cn,5,CN5,,出演者选择,1,CN5
cn,5,CN5,,同归于尽,1,CN5
cn,5,CN5,,夜晚无法入睡,1,CN5
cn,5,CN5,,幻想科学　～ Doll's Phantom,1,CN5
cn,5,CN5,,星幽剑士,1,CN5
cn,5,CN5,,曲名不详,1,CN5
cn,5,CN5,,未知物Ｘ　～ Unfound Adventure,1,CN5
cn,5,CN5,,机械马戏团　～ Reverie（Circus Reverie）,1,CN5
cn,5,CN5,,樱花之恋塚　～ Flower of Japan,1,CN5
cn,5,CN5,,永夜的报应　～ Imperishable Night（Pipes and Fiddle）,1,CN5
cn,5,CN5,,神秘的人偶　～ God Knows,1,CN5
cn,5,CN5,,花映塚 ～ after Higan Retour,1,CN5
cn,5,CN5,,花映塚　～ Higan Retour,1,CN5
cn,6,CN6,,Lastword发动,1,CN6
cn,6,CN6,,Occult Attract,1,CN6
cn,6,CN6,,Plastic Space,1,CN6
cn,6,CN6,,亿万劫之钟,1,CN6
cn,6,CN6,,出演者选择,1,CN6
cn,6,CN6,,同归于尽,1,CN6
cn,6,CN6,,夜晚无法入睡,1,CN6
cn,6,CN6,,容貌错乱　～ Horrible Night,1,CN6
cn,6,CN6,,幻想科学　～ Doll's Phantom,1,CN6
cn,6,CN6,,星幽剑士,1,CN6
cn,6,CN6,,曲名不详,1,CN6
cn,6,CN6,,未知物Ｘ　～ Occultly Madness,1,CN6
cn,6,CN6,,未知物Ｘ　～ Unfound Adventure,1,CN6
cn,6,CN6,,机械马戏团　～ Reverie（Circus Reverie）,1,CN6
cn,6,CN6,,樱花之恋塚　～ Flower of Japan,1,CN6
cn,6,CN6,,永夜的报应　～ Imperishable Night（Pipes and Fiddle）,1,CN6
cn,6,CN6,,神秘的人偶　～ God Knows,1,CN6
cn,6,CN6,,花映塚 ～ after Higan Retour,1,CN6
cn,6,CN6,,花映塚　～ Higan Retour,1,CN6
cn,7,CN7,,Lastword发动,1,CN7
cn,7,CN7,,Occult Attract,1,CN7
cn,7,CN7,,Plastic Space,1,CN7
cn,7,CN7,,争奇斗艳的凭依华,1,CN7
cn,7,CN7,,亿万劫之钟,1,CN7
cn,7,CN7,,凭依华,1,CN7
cn,7,CN7,,出演者选择,1,CN7
cn,7,CN7,,同归于尽,1,CN7
cn,7,CN7,,含苞待放的凭依华,1,CN7
cn,7,CN7,,地之色乃黄色（地之色乃黄色　～ Primrose）,1,CN7
cn,7,CN7,,夜晚无法入睡,1,CN7
cn,7,CN7,,天衣无缝（天衣无缝　～ Yellow Lily）,1,CN7
cn,7,CN7,,容貌错乱　～ Horrible Night,1,CN7
cn,7,CN7,,幻想科学　～ Doll's Phantom,1,CN7
cn,7,CN7,,异变的种子,1,CN7
cn,7,CN7,,心绮楼演舞,1,CN7
cn,7,CN7,,星幽剑士,1,CN7
cn,7,CN7,,曲名不详,1,CN7
cn,7,CN7,,未知物Ｘ　～ Unfound Adventure（未知物X　～ Occultly Madness）,1,CN7
cn,7,CN7,,机械马戏团　～ Reverie（Circus Reverie）,1,CN7
cn,7,CN7,,梦世界民俗,1,CN7
cn,7,CN7,,樱花之恋塚　～ Flower of Japan,1,CN7
cn,7,CN7,,永夜的报应　～ Imperishable Night（Pipes and Fiddle）,1,CN7
cn,7,CN7,,疑惑的萌芽,1,CN7
cn,7,CN7,,神秘的人偶　～ God Knows,1,CN7
cn,7,CN7,,花映塚 ～ after Higan Retour,1,CN7
cn,7,CN7,,花映塚　～ Higan Retour,1,CN7
cn,7,CN7,,通往真相的枝叶,1,CN7
cn,7,CN7,,飞舞飘散的凭依华吹雪,1,CN7
cn,8,CN8,,Lastword发动,1,CN8
cn,8,CN8,,Occult Attract,1,CN8
cn,8,CN8,,Plastic Space,1,CN8
cn,8,CN8,,争奇斗艳的凭依华,1,CN8
cn,8,CN8,,亿万劫之钟,1,CN8
cn,8,CN8,,凭依华,1,CN8
cn,8,CN8,,出演者选择,1,CN8
cn,8,CN8,,同归于尽,1,CN8
cn,8,CN8,,含苞待放的凭依华,1,CN8
cn,8,CN8,,地之色乃黄色（地之色乃黄色　～ Primrose）,1,CN8
