region,round,round_label,category,entity_id,canonical_name,name_jp,name_cn,rank,equal_rank,points,primary_count,secondary_count,selection_count,ballots,primary_rate,selection_rate,comment_count,arrangement_count,arrangement_cumulative_count,undated_arrangement_count,arrangement_total_count,source_type,catalog_matched,catalog_owner,source_row_count
cn,1,CN1,music,123,unowen就是她吗,U.N.オーエンは彼女なのか？,U.N.OWEN就是她吗？,1,1,1686.0,375.0,,1686.0,6105.0,0.22241992882562278,0.27616707616707614,,,,,5773.0,cn_normalized_workbook,1,芙兰朵露·斯卡蕾特,1
cn,1,CN1,music,138,幽雅地绽放吧墨染的樱花,幽雅に咲かせ、墨染の桜　～ Border of Life,幽雅地绽放吧，墨染的樱花 ～ Border of Life,2,2,1649.0,334.0,,1649.0,6105.0,0.2025469981807156,0.2701064701064701,,,,,2950.0,cn_normalized_workbook,1,西行寺幽幽子,1
cn,1,CN1,music,121,献给已逝公主的七重奏,亡き王女の為のセプテット,献给已逝公主的七重奏,3,3,1506.0,272.0,,1506.0,6105.0,0.1806108897742364,0.2466830466830467,,,,,4732.0,cn_normalized_workbook,1,蕾米莉亚·斯卡蕾特,1
cn,1,CN1,music,165,碎月,砕月,碎月,4,4,1489.0,262.0,,1489.0,6105.0,0.17595701813297515,0.2438984438984439,,,,,1505.0,cn_normalized_workbook,1,伊吹萃香,1
cn,1,CN1,music,208,众神眷恋的幻想乡,神々が恋した幻想郷,众神眷恋的幻想乡,5,5,1106.0,168.0,,1106.0,6105.0,0.1518987341772152,0.18116298116298116,,,,,1847.0,cn_normalized_workbook,1,,1
cn,1,CN1,music,178,竹取飞翔,竹取飛翔　～ Lunatic Princess,竹取飞翔 ～ Lunatic Princess,6,6,1084.0,114.0,,1084.0,6105.0,0.10516605166051661,0.17755937755937756,,,,,2681.0,cn_normalized_workbook,1,蓬莱山辉夜,1
cn,1,CN1,music,268,感情的摩天楼,感情の摩天楼　～ Cosmic Mind,感情的摩天楼 ～ Cosmic Mind,7,7,906.0,117.0,,906.0,6105.0,0.1291390728476821,0.1484029484029484,,,,,2029.0,cn_normalized_workbook,1,圣白莲,1
cn,1,CN1,music,114,上海红茶馆,上海紅茶館　～ Chinese Tea,上海红茶馆 ～ Chinese Tea,8,8,857.0,95.0,,857.0,6105.0,0.11085180863477247,0.1403767403767404,,,,,2589.0,cn_normalized_workbook,1,红美铃,1
cn,1,CN1,music,181,飘上月球不死之烟,月まで届け、不死の煙,飘上月球，不死之烟,9,9,815.0,129.0,,815.0,6105.0,0.15828220858895706,0.1334971334971335,,,,,2146.0,cn_normalized_workbook,1,藤原妹红,1
cn,1,CN1,music,247,少女觉,少女さとり　～ 3rd eye,少女觉 ～ 3rd eye,10,10,782.0,124.0,,782.0,6105.0,0.1585677749360614,0.12809172809172809,,,,,2527.0,cn_normalized_workbook,1,古明地觉,1
