catalog_key,entity_id,name_jp,name_cn,release_date,release_order,release_code,source
東方封魔録,2,東方封魔録,东方封魔录,1997-08,19970801,game020,cn_legacy_work_catalog
東方霊異伝,1,東方霊異伝,东方灵异传,1997-08,19970801,game010,cn_legacy_work_catalog
東方夢時空,3,東方夢時空,东方梦时空,1997-12,19971201,game030,cn_legacy_work_catalog
東方幻想郷,4,東方幻想郷,东方幻想乡,1998-08,19980801,game040,cn_legacy_work_catalog
東方怪綺談,5,東方怪綺談,东方怪绮谈,1998-12,19981201,game050,cn_legacy_work_catalog
東方紅魔郷,6,東方紅魔郷,东方红魔乡,2002-08,20020801,game060,cn_legacy_work_catalog
蓬莱人形,31,蓬莱人形,蓬莱人形,2002-12,20021201,music010,jp_ranking_fallback
東方妖々夢,7,東方妖々夢,东方妖妖梦,2003-08,20030801,game070,cn_legacy_work_catalog
蓮台野夜行,26,蓮台野夜行,莲台野夜行,2003-12,20031201,music020,cn_legacy_work_catalog
東方香霖堂,43,東方香霖堂,东方香霖堂,2004-01,20040101,novel001,cn_legacy_work_catalog
東方永夜抄,9,東方永夜抄,东方永夜抄,2004-08,20040801,game080,cn_legacy_work_catalog
東方萃夢想,8,東方萃夢想,东方萃梦想,2004-12,20041201,game075,cn_legacy_work_catalog
夢違科学世紀,27,夢違科学世紀,梦违科学世纪,2004-12,20041201,music030,cn_legacy_work_catalog
東方三月精,44,東方三月精,东方三月精,2005-03,20050301,novel002,cn_legacy_work_catalog
東方文花帖書籍,43,東方文花帖（書籍）,东方文花帖（书籍）,2005-08,20050801,novel003,jp_ranking_fallback
東方花映塚,10,東方花映塚,东方花映塚,2005-08,20050801,game090,cn_legacy_work_catalog
東方文花帖,11,東方文花帖,东方文花帖,2005-12,20051201,game095,cn_legacy_work_catalog
卯酉東海道,28,卯酉東海道,卯酉东海道,2006-05,20060501,music040,cn_legacy_work_catalog
幺樂団の歴史,30,幺樂団の歴史,幺乐团的历史,2006-05,20060501,music015,jp_ranking_fallback
大空魔術,29,大空魔術,大空魔术,2006-08,20060801,music050,cn_legacy_work_catalog
東方求聞史紀東方求聞口授,44,東方求聞史紀 / 東方求聞口授,东方求闻史纪 / 东方求闻口授,2006-12,20061201,novel005,jp_ranking_fallback
東方儚月抄,45,東方儚月抄,东方儚月抄,2007-06,20070601,novel006,cn_legacy_work_catalog
東方風神録,12,東方風神録,东方风神录,2007-08,20070801,game100,cn_legacy_work_catalog
東方緋想天,13,東方緋想天,东方绯想天,2008-05,20080501,game105,cn_legacy_work_catalog
東方地霊殿,14,東方地霊殿,东方地灵殿,2008-08,20080801,game110,cn_legacy_work_catalog
thegrimoireofmarisa,46,The Grimoire of Marisa,魔理沙的魔导书,2009-07,20090701,novel007,jp_ranking_fallback
東方星蓮船,15,東方星蓮船,东方星莲船,2009-08,20090801,game120,cn_legacy_work_catalog
東方非想天則,16,東方非想天則,东方非想天则,2009-08,20090801,game123,cn_legacy_work_catalog
東方茨歌仙,46,東方茨歌仙,东方茨歌仙,2010-07,20100701,novel008,cn_legacy_work_catalog
妖精大戦争,18,妖精大戦争,妖精大战争,2010-08,20100801,game128,cn_legacy_work_catalog
未知の花魅知の旅,30,未知の花 魅知の旅,未知之花 魅知之旅,2011-05,20110501,music055,cn_legacy_work_catalog
東方神霊廟,19,東方神霊廟,东方神灵庙,2011-08,20110801,game130,cn_legacy_work_catalog
鳥船遺跡,31,鳥船遺跡,鸟船遗迹,2012-04,20120401,music060,cn_legacy_work_catalog
伊弉諾物質,32,伊弉諾物質,伊奘诺物质,2012-08,20120801,music070,cn_legacy_work_catalog
東方鈴奈庵,47,東方鈴奈庵,东方铃奈庵,2012-10,20121001,novel010,cn_legacy_work_catalog
東方心綺楼,20,東方心綺楼,东方心绮楼,2013-05,20130501,game135,cn_legacy_work_catalog
東方輝針城,21,東方輝針城,东方辉针城,2013-08,20130801,game140,cn_legacy_work_catalog
弾幕アマノジャク,22,弾幕アマノジャク,弹幕天邪鬼,2014-05,20140501,game143,cn_legacy_work_catalog
東方深秘録,23,東方深秘録,东方深秘录,2015-05,20150501,game145,cn_legacy_work_catalog
東方紺珠伝,24,東方紺珠伝,东方绀珠传,2015-08,20150801,game150,cn_legacy_work_catalog
燕石博物誌,54,燕石博物誌,燕石博物志,2016-05,20160501,music080,cn_legacy_work_catalog
旧約酒場,55,旧約酒場,旧约酒吧,2016-08,20160801,music090,cn_legacy_work_catalog
東方文果真報,60,東方文果真報,东方文果真报,2017-03,20170301,novel012,cn_legacy_work_catalog
東方天空璋,59,東方天空璋,东方天空璋,2017-08,20170801,game160,cn_legacy_work_catalog
東方憑依華,58,東方憑依華,东方凭依华,2017-12,20171201,game155,cn_legacy_work_catalog
秘封ナイトメアダイアリー,62,秘封ナイトメアダイアリー,秘封噩梦日记,2018-08,20180801,game165,cn_legacy_work_catalog
thegrimoireofusami秘封倶楽部異界撮影記録,50,The Grimoire of Usami 秘封倶楽部異界撮影記録,宇佐见的魔导书 秘封俱乐部异界摄影记录,2019-04,20190401,novel013,jp_ranking_fallback
東方鬼形獣,64,東方鬼形獣,东方鬼形兽,2019-08,20190801,game170,cn_legacy_work_catalog
東方智霊奇伝反則探偵さとり,51,東方智霊奇伝 反則探偵さとり,东方智灵奇传 反则侦探觉,2019-10,20191001,novel014,jp_ranking_fallback
東方酔蝶華,67,東方酔蝶華,东方醉蝶华,2019-11,20191101,novel015,cn_legacy_work_catalog
東方project人妖名鑑宵闇編,53,東方Project人妖名鑑 宵闇編,东方Project人妖名鉴 宵暗篇,2020-03,20200301,novel016,jp_ranking_fallback
東方project人妖名鑑常世編,56,東方Project人妖名鑑 常世編,东方Project人妖名鉴 常世篇,2020-10,20201001,novel017,jp_ranking_fallback
東方虹龍洞,54,東方虹龍洞,东方虹龙洞,2021-05,20210501,game180,jp_ranking_fallback
東方剛欲異聞,29,東方剛欲異聞,东方刚欲异闻,2021-10,20211001,game175,jp_ranking_fallback
虹色のセプテントリオン,55,虹色のセプテントリオン,虹色的七星,2021-12,20211201,music100,jp_ranking_fallback
バレットフィリア達の闇市場,57,バレットフィリア達の闇市場,弹幕狂们的黑市,2022-08,20220801,game185,jp_ranking_fallback
東方獣王園,58,東方獣王園,东方兽王园,2023-08,20230801,game190,jp_ranking_fallback
七夕坂夢幻能,59,七夕坂夢幻能,七夕坂梦幻能,2024-05,20240501,music110,jp_ranking_fallback
東方幻存神籤,60,東方幻存神籤,东方幻存神签,2024-08,20240801,novel018,jp_ranking_fallback
東方錦上京,61,東方錦上京,东方锦上京,2025-08,20250801,game200,jp_ranking_fallback
霊長新益京,62,霊長新益京,灵长新益京,2025-12,20251201,game210,jp_ranking_fallback
thegrimoireofmarisa书籍,,,The Grimoire of Marisa（书籍）,,99999999,,cn_ranking_fallback
東方project人妖名鑑,68,東方Project人妖名鑑,东方Project人妖名鉴,,99999999,novel016,cn_ranking_fallback
东方三月精书籍,,,东方三月精（书籍）,,99999999,,cn_ranking_fallback
东方儚月抄书籍,,,东方儚月抄（书籍）,,99999999,,cn_ranking_fallback
東方外來韋編,53,東方外來韋編,东方外来韦编,,99999999,novel011,cn_legacy_work_catalog
东方外来韦编书籍,53,,东方外来韦编（书籍）,,99999999,,cn_ranking_fallback
东方文花帖ds,,,东方文花帖DS,,99999999,,cn_ranking_fallback
东方智灵奇传,66,,东方智灵奇传,,99999999,,cn_ranking_fallback
東方求聞口授,49,東方求聞口授,东方求闻口授,,99999999,novel009,cn_legacy_work_catalog
东方求闻口授书籍,,,东方求闻口授（书籍）,,99999999,,cn_ranking_fallback
東方求聞史紀,48,東方求聞史紀,东方求闻史纪,,99999999,novel005,cn_legacy_work_catalog
东方求闻史纪书籍,,,东方求闻史纪（书籍）,,99999999,,cn_ranking_fallback
東方深秘録ps4,57,東方深秘録PS4,东方深秘录PS4版,,99999999,game145ps4,cn_legacy_work_catalog
東方紫香花,52,東方紫香花,东方紫香花,,99999999,novel004,cn_legacy_work_catalog
东方紫香花书籍,,,东方紫香花（书籍）,,99999999,,cn_ranking_fallback
东方茨歌仙书籍,,,东方茨歌仙（书籍）,,99999999,,cn_ranking_fallback
东方铃奈庵书籍,25,,东方铃奈庵（书籍）,,99999999,,cn_ranking_fallback
东方香霖堂书籍,,,东方香霖堂（书籍）,,99999999,,cn_ranking_fallback
伊奘诺物质专辑,32,,伊奘诺物质（专辑）,,99999999,,cn_ranking_fallback
全人类的天乐录,39,,全人类的天乐录,,99999999,,cn_ranking_fallback
全人类的天乐录专辑,39,,全人类的天乐录（专辑）,,99999999,,cn_ranking_fallback
卯酉东海道专辑,28,,卯酉东海道（专辑）,,99999999,,cn_ranking_fallback
