region,round,category,rank,entity_id,entity_key,entity_name,alignment_status,source_path
cn,2,character,83,,cn:02:character:name:蕾蒂霍瓦特洛克,蕾蒂·霍瓦特洛克,unmatched_manual_review,TouhouVote_cn.xlsx
cn,3,character,80,,cn:03:character:name:蕾蒂霍瓦特洛克,蕾蒂·霍瓦特洛克,unmatched_manual_review,TouhouVote_cn.xlsx
cn,3,character,106,,cn:03:character:name:阴阳玉,阴阳玉,ambiguous_name_manual_review,TouhouVote_cn.xlsx
cn,3,character,136,,cn:03:character:name:阴阳玉,阴阳玉,ambiguous_name_manual_review,TouhouVote_cn.xlsx
cn,5,character,37,,cn:05:character:name:玛艾露贝莉赫恩,玛艾露贝莉·赫恩（梅莉）1,unmatched_manual_review,TouhouVote_cn.xlsx
cn,1,music,259,,cn:01:music:name:飞越夜晚的鸠山powermix,飞翔在夜晚的鸠山 －Power MIX,ambiguous_name_manual_review,TouhouVote_music_cn.xlsx
cn,1,music,296,,cn:01:music:name:飞越夜晚的鸠山powermix,飞翔在夜晚的鸠山 －Power MIX,ambiguous_name_manual_review,TouhouVote_music_cn.xlsx
cn,1,music,332,,cn:01:music:name:飞越夜晚的鸠山powermix,飞翔在夜晚的鸠山 －Power MIX,ambiguous_name_manual_review,TouhouVote_music_cn.xlsx
cn,2,music,364,,cn:02:music:name:宵闇の魔術師,宵暗的魔术师,unmatched_manual_review,TouhouVote_music_cn.xlsx
cn,3,music,296,,cn:03:music:name:宵闇の魔術師,宵暗的魔术师,unmatched_manual_review,TouhouVote_music_cn.xlsx
cn,5,music,346,,cn:05:music:name:宵闇の魔術師,宵暗的魔术师,unmatched_manual_review,TouhouVote_music_cn.xlsx
cn,6,music,63,,cn:06:music:name:狂气之瞳invisiblefullmoon,狂气之瞳　～ Invisible Full Moon,ambiguous_name_manual_review,TouhouVote_music_cn.xlsx
cn,6,music,123,,cn:06:music:name:徜徉于樱色之海,徜徉于樱色之海,unmatched_manual_review,TouhouVote_music_cn.xlsx
cn,6,music,198,,cn:06:music:name:狂气之瞳invisiblefullmoon,狂气之瞳　～ Invisible Full Moon,ambiguous_name_manual_review,TouhouVote_music_cn.xlsx
cn,6,music,342,,cn:06:music:name:宵闇の魔術師,宵暗的魔术师,unmatched_manual_review,TouhouVote_music_cn.xlsx
cn,7,music,397,,cn:07:music:name:宵闇の魔術師,宵暗的魔术师,unmatched_manual_review,TouhouVote_music_cn.xlsx
cn,8,music,417,,cn:08:music:name:宵闇の魔術師,宵暗的魔术师,unmatched_manual_review,TouhouVote_music_cn.xlsx
cn,1,work,1,,cn:01:work:name:东方永夜抄,东方永夜抄,official_detail_not_available,data_raw/cn_official_legacy/round_01/processed/summary_tables/pages__work__mod_work__step_1.html.tables.json
cn,1,work,2,,cn:01:work:name:东方红魔乡,东方红魔乡,official_detail_not_available,data_raw/cn_official_legacy/round_01/processed/summary_tables/pages__work__mod_work__step_1.html.tables.json
cn,1,work,3,,cn:01:work:name:东方非想天则,东方非想天则,official_detail_not_available,data_raw/cn_official_legacy/round_01/processed/summary_tables/pages__work__mod_work__step_1.html.tables.json
